ReturnID,OrderLineID,ReturnDateKey,CustomerKey,ProductKey,StoreKey,ReturnedQuantity,ReturnAmount,ReturnReason,IsResellable
41,31450,20230414,1375,69,12,1,356.04,Other,True
42,9166,20251022,401,32,9,1,25.3,Warranty,True
43,59300,20220531,1778,82,8,1,603.82,Warranty,True
44,270,20240302,1862,74,3,1,216.31,Damaged,True
45,36759,20251116,1739,91,10,5,2599.75,Other,False
46,46511,20251123,373,40,5,1,283.12,Wrong size,True
47,259,20240305,601,60,3,2,987.98,Other,True
48,48750,20231016,480,106,10,2,1754.24,Late delivery,False
49,6689,20230110,285,53,10,1,203.45,Changed mind,True
50,40811,20241226,1996,102,2,1,138.0,Warranty,True
51,7556,20241125,906,29,6,1,127.0,Other,True
52,15949,20241231,256,61,6,1,314.92,Warranty,True
53,53935,20221106,1676,48,1,3,549.75,Late delivery,True
54,15772,20230701,74,64,11,1,181.48,Damaged,True
55,40129,20251218,907,20,4,1,148.77,Late delivery,True
56,59597,20251107,566,34,2,3,196.26,Warranty,True
57,34321,20240623,71,54,3,4,374.4,Late delivery,True
58,1946,20240806,1187,64,2,1,201.62,Other,True
59,48614,20250612,432,47,4,1,101.66,Wrong size,True
60,3054,20250220,987,89,5,3,185.16,Warranty,True
61,26310,20250310,1350,5,3,1,3747.37,Wrong size,False
62,21285,20230309,959,64,7,1,193.54,Changed mind,False
63,44933,20240708,331,64,10,5,843.27,Other,False
64,11005,20240419,385,17,9,1,88.03,Damaged,True
65,22118,20230508,185,89,12,1,57.12,Warranty,True
66,41764,20231211,1299,73,12,1,320.98,Late delivery,True
67,17613,20251218,648,70,8,2,342.23,Late delivery,False
68,53413,20240804,1883,70,5,1,200.05,Changed mind,False
69,2853,20220802,1849,91,4,3,1573.05,Changed mind,True
70,211,20230123,757,20,5,1,119.23,Late delivery,False
71,19670,20230918,152,20,3,1,155.29,Warranty,True
72,46226,20251229,611,18,10,3,305.61,Other,True
73,39943,20250308,1398,81,9,1,357.83,Wrong size,True
74,17585,20231214,1854,83,1,1,561.38,Late delivery,True
75,33508,20230303,444,69,6,1,341.61,Changed mind,True
76,3226,20240626,277,62,11,1,147.21,Late delivery,True
77,2638,20221222,1695,48,9,4,648.47,Changed mind,True
78,47491,20240309,70,26,1,1,13.72,Other,False
79,10507,20250630,1096,52,1,1,69.77,Late delivery,True
80,29812,20250922,899,105,6,2,828.72,Damaged,True
81,32365,20221220,1187,107,12,2,1250.91,Wrong size,True
82,9377,20240822,298,98,7,1,187.13,Warranty,True
83,23011,20251016,1355,96,5,3,2022.33,Changed mind,True
84,34485,20250907,1218,37,11,1,100.54,Wrong size,True
85,20424,20250411,1572,98,12,1,170.08,Other,True
86,47333,20240520,970,47,12,2,195.84,Changed mind,False
87,37312,20230102,9,45,2,3,494.19,Other,False
88,49719,20251231,87,52,10,3,207.24,Changed mind,True
89,47855,20250508,7,37,8,1,113.25,Late delivery,True
90,10598,20250421,657,80,2,1,168.71,Wrong size,True
91,20317,20221127,1934,6,12,1,1624.98,Wrong size,True
92,48832,20250712,1302,21,4,1,89.86,Warranty,False
93,23374,20250405,1040,76,12,4,980.4,Warranty,True
94,38285,20230418,366,10,11,1,1948.8,Other,False
95,4601,20240810,902,82,12,3,1733.8,Other,False
96,37524,20240611,1953,101,10,2,1048.8,Wrong size,True
97,18580,20240629,1555,74,4,2,406.8,Damaged,True
98,39367,20251110,902,48,8,2,373.78,Damaged,False
99,32920,20250610,1494,78,6,3,548.61,Damaged,False
100,52265,20251123,1450,56,9,2,329.33,Wrong size,True
101,27998,20240630,929,42,4,2,272.42,Damaged,False
102,24855,20240317,1431,22,12,1,113.53,Changed mind,True
103,52460,20250809,159,71,12,1,319.75,Changed mind,True
104,6190,20250302,1019,1,7,1,1218.59,Damaged,False
105,23327,20240323,1879,54,1,1,106.24,Other,True
106,11920,20240527,1615,93,7,4,796.99,Late delivery,True
107,41539,20231106,1825,83,9,1,574.24,Changed mind,True
108,14902,20221217,922,47,2,3,276.94,Warranty,False
109,6741,20250606,1719,103,8,1,563.35,Other,True
110,52973,20251231,1166,46,10,2,443.61,Changed mind,True
111,32066,20230111,276,22,12,1,98.19,Damaged,True
112,21001,20230316,1389,46,1,1,236.38,Late delivery,True
113,59490,20230921,934,54,11,1,112.47,Changed mind,True
114,45777,20250723,1096,39,4,3,377.52,Wrong size,True
115,50086,20250424,824,96,6,1,673.32,Other,False
116,113,20250928,1604,61,7,1,315.98,Wrong size,False
117,13442,20250525,1593,82,6,2,1248.3,Other,True
118,50283,20231207,905,16,10,1,97.99,Late delivery,True
119,58330,20240309,1884,9,6,1,1013.08,Wrong size,True
120,53192,20250528,1258,12,4,1,3494.13,Wrong size,True
121,8131,20250412,981,16,3,1,98.23,Late delivery,True
122,34251,20240803,311,68,4,1,135.81,Changed mind,True
123,11934,20240314,1049,38,9,7,1726.83,Wrong size,True
124,24311,20251101,1120,58,7,1,414.3,Damaged,False
125,25076,20230816,350,52,8,1,66.42,Other,True
126,25355,20231230,1250,11,12,1,4168.81,Warranty,True
127,12111,20250729,98,41,10,1,293.64,Late delivery,True
128,20329,20240425,643,54,4,1,107.24,Other,False
129,46514,20230531,272,85,7,1,346.37,Warranty,True
130,37993,20231225,1730,27,5,1,71.72,Wrong size,True
131,48478,20240510,445,62,1,1,148.37,Warranty,True
132,34919,20241224,754,6,3,1,1409.93,Late delivery,True
133,32818,20240702,281,37,5,1,99.44,Changed mind,True
134,11520,20231117,877,107,4,1,549.45,Changed mind,True
135,12605,20241202,828,86,11,1,291.13,Other,True
136,48804,20230428,1841,49,3,2,175.64,Wrong size,True
137,24928,20250104,998,95,9,1,386.01,Wrong size,True
138,44470,20251231,1210,88,7,1,148.19,Damaged,True
139,52500,20231022,1802,47,5,1,111.36,Other,True
140,28284,20250913,1446,69,9,2,657.08,Other,False
141,28407,20230610,1571,19,5,4,314.44,Wrong size,True
142,15997,20251230,1172,33,12,2,141.1,Changed mind,True
143,24040,20250318,1152,23,1,2,130.63,Damaged,True
144,6209,20241225,107,81,8,1,376.83,Warranty,True
145,5444,20240511,637,46,6,1,239.83,Wrong size,False
146,19997,20220625,1399,24,9,1,37.24,Changed mind,True
147,46811,20240105,1064,48,11,1,193.62,Late delivery,True
148,42926,20221017,1067,45,1,1,136.97,Damaged,True
149,14212,20220727,1463,86,3,1,255.67,Warranty,True
150,1709,20231207,28,21,3,1,80.0,Warranty,True
151,44269,20241117,123,97,4,1,705.19,Changed mind,True
152,41383,20240131,1278,103,6,5,2956.68,Warranty,False
153,20181,20220514,92,83,11,1,546.92,Damaged,True
154,44233,20250206,1316,5,6,1,3276.77,Wrong size,True
155,57991,20251121,1048,105,1,1,497.92,Late delivery,False
156,18587,20250322,415,102,10,2,282.75,Wrong size,False
157,36440,20251224,160,31,6,1,89.7,Late delivery,True
158,52171,20230423,252,65,12,1,48.0,Wrong size,True
159,5446,20221201,1306,22,5,1,99.62,Wrong size,True
160,54635,20220901,630,103,9,1,539.8,Other,True
161,11462,20241124,1459,105,11,1,510.72,Late delivery,True
162,18181,20240522,1635,18,2,1,99.26,Changed mind,True
163,59666,20250219,1094,6,1,1,1382.6,Late delivery,True
164,48223,20241125,461,46,8,1,236.8,Other,True
165,53025,20250104,664,75,9,2,634.02,Wrong size,True
166,30168,20230112,435,55,1,1,319.23,Late delivery,True
167,12887,20240206,605,56,7,1,193.22,Other,True
168,22455,20231104,171,69,9,1,327.21,Other,True
169,19318,20250601,277,78,12,1,179.88,Wrong size,False
170,53521,20241126,642,78,5,1,169.94,Damaged,False
171,29173,20240305,877,21,6,1,78.62,Warranty,True
172,56263,20240430,109,78,8,1,173.66,Other,False
173,50646,20230405,33,77,5,4,364.18,Wrong size,False
174,27169,20240619,1127,6,2,1,1417.39,Changed mind,True
175,12426,20231017,1613,92,12,1,517.9,Warranty,True
176,31721,20221210,1344,47,5,1,91.2,Changed mind,True
177,3573,20230622,885,30,1,3,187.44,Damaged,True
178,34793,20230429,1276,65,2,1,47.79,Other,True
179,47552,20241216,506,73,12,4,1234.05,Other,False
180,52533,20250524,560,93,3,2,390.44,Warranty,True
181,4128,20250416,1849,14,11,1,110.15,Wrong size,True
182,18409,20230617,1873,65,6,1,38.91,Changed mind,True
183,23452,20230519,1936,103,1,1,609.42,Changed mind,True
184,40903,20250807,608,54,6,1,110.0,Warranty,True
185,58857,20251026,1521,29,10,2,286.31,Damaged,True
186,40274,20220819,1682,19,11,1,80.07,Wrong size,True
187,8445,20250517,1583,20,8,1,137.62,Late delivery,True
188,37984,20230918,179,46,6,1,215.71,Late delivery,True
189,36027,20241216,848,9,2,1,1068.81,Late delivery,True
190,12861,20250305,511,19,9,1,72.14,Changed mind,True
191,43032,20240217,1254,97,1,2,1314.9,Warranty,True
192,37768,20230925,1755,20,2,1,150.96,Damaged,True
193,42745,20250724,390,82,5,1,692.71,Wrong size,True
194,32580,20250923,1791,76,12,1,215.33,Late delivery,True
195,41406,20251215,1960,64,7,2,315.63,Warranty,True
196,24305,20241007,74,12,4,1,3510.84,Changed mind,True
197,43620,20251231,1497,99,12,1,629.81,Other,False
198,41287,20241218,1509,97,6,2,1473.56,Other,False
199,58612,20230822,60,36,2,1,196.67,Wrong size,True
200,32380,20250216,1764,33,1,1,85.45,Wrong size,True
201,30696,20251029,22,84,7,3,645.85,Damaged,True
202,2491,20230415,1964,108,10,3,1963.7,Other,True
203,13141,20230406,1217,28,10,1,38.07,Other,True
204,44485,20241117,925,14,4,1,96.87,Damaged,True
205,45632,20250620,80,55,10,1,324.25,Damaged,True
206,55230,20240105,639,16,6,2,227.86,Damaged,True
207,59025,20250414,1314,101,3,1,586.33,Damaged,False
208,13515,20250104,543,76,6,1,216.64,Changed mind,True
209,4360,20250310,138,61,7,1,322.79,Changed mind,True
210,34872,20231002,921,55,11,2,632.54,Other,True
211,21680,20230219,67,101,7,1,563.68,Late delivery,True
212,51096,20241024,1240,8,12,1,2201.36,Damaged,True
213,9301,20240108,171,69,4,1,348.13,Other,True
214,46404,20231122,1059,11,9,1,4036.52,Other,False
215,33322,20231003,1008,38,5,1,239.05,Late delivery,True
216,56786,20251231,1000,64,3,1,183.44,Late delivery,True
217,51008,20251118,199,97,10,3,2126.52,Wrong size,True
218,5234,20240718,508,22,2,1,92.54,Other,True
219,32160,20250615,586,68,11,1,140.72,Changed mind,False
220,36250,20251231,865,47,1,2,207.5,Changed mind,False
221,12634,20220811,755,56,1,1,167.93,Changed mind,True
222,16092,20231020,62,71,8,1,272.27,Other,True
223,32810,20250502,27,95,4,2,842.7,Late delivery,True
224,5843,20240719,985,39,7,1,127.35,Changed mind,True
225,44289,20251230,667,77,8,1,87.43,Late delivery,True
226,43231,20240810,710,47,4,3,311.77,Wrong size,True
227,36673,20230730,1736,18,10,2,162.03,Late delivery,True
228,2135,20241108,1873,45,7,2,293.36,Wrong size,True
229,26203,20241127,931,104,6,1,528.86,Changed mind,True
230,48877,20250712,950,59,4,1,49.77,Warranty,True
231,49373,20231022,620,8,12,1,2056.81,Wrong size,True
232,43953,20240929,156,11,10,1,3432.84,Damaged,True
233,16770,20230120,352,16,12,1,114.53,Warranty,False
234,31584,20250123,1172,14,8,1,104.56,Damaged,True
235,43636,20240401,1438,51,5,1,222.84,Other,True
236,44725,20250327,456,97,7,2,1580.74,Changed mind,True
237,23478,20230706,10,65,5,1,45.91,Damaged,True
238,43054,20251016,629,73,3,1,310.26,Changed mind,True
239,22798,20230531,287,81,5,1,332.0,Changed mind,True
240,45192,20240909,1257,95,5,2,784.26,Wrong size,True
241,49530,20231209,254,71,12,1,353.25,Wrong size,False
242,17631,20250628,1479,70,1,1,162.82,Late delivery,False
243,7425,20250719,989,73,3,3,859.5,Wrong size,True
244,33569,20221211,1806,4,4,1,3010.96,Damaged,True
245,5387,20250520,1702,38,11,3,646.65,Late delivery,False
246,58803,20250305,1830,33,3,1,77.45,Other,True
247,20539,20240106,905,74,3,1,205.14,Other,True
248,12936,20250306,365,43,1,2,290.92,Late delivery,True
249,12532,20231223,15,40,5,1,308.06,Warranty,True
250,22930,20251124,657,41,4,2,492.56,Wrong size,True
251,5319,20250328,314,17,3,2,156.18,Warranty,False
252,34198,20240203,281,6,10,1,1595.54,Wrong size,True
253,2068,20241030,578,66,11,1,107.78,Late delivery,False
254,59581,20251026,1150,60,2,1,467.45,Damaged,True
255,12793,20230316,425,76,11,1,231.55,Warranty,False
256,20039,20240829,178,22,9,1,105.86,Warranty,True
257,47226,20250928,1193,66,7,2,207.46,Wrong size,True
258,52904,20251025,278,105,5,3,1489.21,Other,False
259,15484,20231017,1577,69,3,1,357.24,Warranty,False
260,9555,20250127,1233,104,7,1,500.0,Damaged,False
261,55508,20250616,619,76,8,1,225.77,Warranty,True
262,3716,20240901,1642,7,8,1,2333.59,Late delivery,True
263,2020,20250808,1773,38,4,1,249.87,Warranty,False
264,34186,20231130,1826,10,11,1,2008.57,Changed mind,True
265,47144,20231027,334,69,4,1,346.92,Changed mind,True
266,44416,20240707,902,54,2,3,295.46,Late delivery,True
267,10487,20240307,1800,63,12,1,251.17,Damaged,True
268,39884,20250304,1116,95,10,2,845.76,Wrong size,True
269,35147,20251026,609,38,7,1,195.12,Damaged,True
270,9838,20250213,198,102,1,4,638.88,Other,True
271,8896,20240327,329,53,1,1,169.83,Warranty,True
272,46414,20231119,1068,60,10,1,553.45,Changed mind,True
273,13765,20230629,749,12,6,1,3805.73,Other,True
274,40650,20240721,1370,74,1,1,220.13,Late delivery,True
275,58423,20240222,341,99,11,1,527.76,Changed mind,False
276,57244,20240429,1530,105,9,1,500.98,Changed mind,True
277,2575,20240728,6,18,9,3,261.74,Warranty,True
278,5485,20251207,1790,102,11,1,162.53,Wrong size,True
279,26059,20220825,1055,15,2,1,21.65,Warranty,True
280,53328,20240131,1934,66,3,1,101.48,Wrong size,False
281,140,20241230,1981,46,7,2,458.36,Late delivery,True
282,53444,20240101,1057,30,7,1,60.53,Warranty,True
283,25828,20240628,796,18,10,3,285.57,Late delivery,False
284,26504,20250827,1517,71,9,1,317.56,Warranty,True
285,11138,20250314,1212,80,10,1,149.17,Wrong size,False
286,43998,20250507,591,50,4,1,162.73,Other,True
287,3479,20240629,1862,103,1,2,1094.42,Wrong size,True
288,58353,20231230,1856,13,12,1,11.67,Other,True
289,21801,20250430,238,2,12,2,4246.1,Late delivery,False
290,6624,20240829,1793,2,10,1,1924.8,Wrong size,True
291,30440,20250326,1423,71,7,1,351.72,Damaged,True
292,10345,20240119,542,64,1,1,196.38,Wrong size,False
293,37264,20251101,258,66,10,1,107.17,Wrong size,False
294,30594,20240322,321,89,10,1,61.8,Warranty,True
295,26610,20231113,1482,87,1,1,139.73,Other,False
296,58698,20241108,947,77,6,1,88.7,Changed mind,True
297,55010,20230911,1373,92,11,1,570.57,Changed mind,True
298,45177,20220624,131,79,11,1,377.4,Other,False
299,33688,20230914,1646,20,6,1,123.69,Other,True
300,58306,20241013,17,107,2,1,553.96,Late delivery,False
301,54897,20231213,652,86,6,3,825.24,Wrong size,False
302,40169,20250617,1147,31,11,1,90.91,Damaged,True
303,16861,20250220,291,10,3,1,1945.36,Changed mind,True
304,52743,20250617,1086,65,11,2,91.74,Changed mind,False
305,12592,20241205,1225,2,5,1,2052.19,Wrong size,True
306,28395,20240302,651,53,9,2,360.0,Late delivery,True
307,32977,20250908,1041,35,11,1,86.14,Warranty,True
308,28846,20240109,1018,7,7,1,1868.9,Changed mind,False
309,56243,20230105,1839,7,4,1,2408.83,Damaged,False
310,49922,20241205,1056,84,7,1,191.16,Late delivery,True
311,1824,20230315,1982,40,9,3,874.92,Damaged,True
312,26114,20221130,449,84,8,1,202.2,Other,True
313,8417,20250728,133,27,9,2,125.99,Other,True
314,57035,20230512,1816,77,10,1,89.76,Warranty,True
315,41461,20250326,1449,10,2,1,1946.68,Changed mind,False
316,32758,20250212,345,40,5,2,642.06,Changed mind,False
317,8928,20221202,34,1,3,1,1127.04,Warranty,True
318,44344,20240629,400,43,3,1,163.5,Late delivery,True
319,32798,20250317,408,24,4,1,36.56,Changed mind,False
320,57895,20240919,237,7,8,1,2487.48,Wrong size,True
321,40420,20240422,1012,107,6,1,628.17,Late delivery,False
322,33422,20240217,1174,89,10,1,54.4,Wrong size,True
323,637,20251231,1995,94,6,1,416.46,Wrong size,True
324,59212,20240525,1785,94,7,1,466.2,Late delivery,False
325,39302,20230524,892,16,11,3,320.88,Wrong size,True
326,18994,20251112,1791,8,1,1,2166.84,Warranty,False
327,5152,20240518,1342,6,9,1,1413.95,Damaged,True
328,27779,20251231,13,18,5,1,101.23,Wrong size,False
329,7963,20250901,1367,41,11,1,266.39,Damaged,False
330,46801,20220726,1279,56,3,5,872.34,Wrong size,False
331,8576,20231105,1134,4,5,1,2928.06,Wrong size,True
332,51355,20220526,1690,64,9,1,179.67,Damaged,True
333,4773,20230601,1015,87,9,2,357.3,Changed mind,True
334,13046,20230819,899,34,2,1,55.5,Other,False
335,47836,20230119,844,98,6,1,171.43,Late delivery,False
336,56807,20240306,81,62,6,2,294.05,Damaged,True
337,45918,20241223,988,59,2,1,46.92,Late delivery,False
338,30335,20230628,1533,102,9,1,142.48,Changed mind,True
339,10169,20240409,1613,5,9,1,3176.25,Changed mind,True
340,3401,20250108,1516,50,4,4,872.76,Wrong size,False
341,49683,20240629,1169,95,9,1,378.63,Changed mind,False
342,37160,20250425,725,69,10,1,336.07,Warranty,True
343,11045,20250920,1922,20,6,2,283.75,Changed mind,False
344,10776,20230516,294,28,11,2,88.24,Changed mind,True
345,7193,20231214,1985,10,9,1,1827.78,Wrong size,True
346,17210,20230911,1509,77,11,1,90.46,Late delivery,True
347,29992,20250420,395,20,7,1,145.01,Other,False
348,23735,20240619,1668,45,4,1,156.71,Late delivery,True
349,30989,20230414,866,26,12,1,12.89,Late delivery,False
350,38057,20250413,1675,14,8,1,78.18,Wrong size,True
351,17291,20241223,1855,65,7,1,49.14,Late delivery,True
352,25548,20240403,462,55,1,1,305.83,Other,True
353,39762,20220918,359,18,1,1,99.84,Wrong size,True
354,43535,20240421,681,4,6,1,2387.76,Late delivery,False
355,46371,20241225,1086,33,1,2,166.32,Warranty,False
356,11994,20251103,1517,92,11,1,541.47,Warranty,True
357,20931,20230818,1651,65,2,1,43.85,Late delivery,True
358,3179,20240925,621,8,2,1,2142.45,Changed mind,True
359,28007,20231220,970,76,7,1,243.31,Wrong size,True
360,29290,20250204,1295,19,11,1,77.55,Wrong size,True
361,42721,20241230,558,43,6,3,416.13,Damaged,True
362,53490,20230531,467,15,5,2,41.4,Other,True
363,37973,20250722,1443,59,7,1,53.53,Late delivery,True
364,10746,20241031,1699,37,10,1,109.7,Other,True
365,27830,20230627,1767,43,1,1,147.09,Changed mind,False
366,55418,20220707,187,98,8,1,201.95,Changed mind,True
367,32223,20250306,1712,91,8,1,473.41,Changed mind,False
368,51154,20221217,875,103,1,1,557.37,Warranty,True
369,3834,20250416,588,14,9,1,95.28,Damaged,True
370,33029,20251231,1667,22,8,1,109.58,Warranty,True
371,34154,20231126,313,38,1,1,220.25,Warranty,True
372,19917,20230121,265,43,3,1,142.58,Other,False
373,22169,20240102,830,94,10,3,1331.56,Late delivery,True
374,52453,20251113,1126,49,4,1,74.9,Wrong size,True
375,39538,20240329,1541,39,3,1,115.74,Wrong size,True
376,2808,20230814,1424,103,11,1,547.22,Late delivery,True
377,35242,20250727,1573,42,9,1,141.47,Damaged,True
378,3521,20220816,846,56,8,1,151.66,Changed mind,False
379,33345,20240404,1059,40,6,2,620.24,Late delivery,True
380,26356,20250205,1430,67,10,1,141.69,Late delivery,True
381,52038,20230309,1244,10,5,1,1858.94,Late delivery,False
382,14016,20240712,477,95,2,5,1846.2,Warranty,False
383,992,20250726,1886,6,11,1,1386.82,Warranty,True
384,34734,20251203,616,69,4,1,304.87,Late delivery,False
385,30442,20250405,1423,79,7,1,345.33,Wrong size,False
386,18024,20231003,1710,30,2,1,61.12,Damaged,True
387,41284,20240217,1544,27,8,1,79.6,Damaged,True
388,49347,20250723,1806,9,12,1,962.4,Warranty,False
389,22305,20251016,1198,5,2,1,3319.21,Damaged,False
390,15767,20240801,233,48,1,1,196.88,Warranty,True
391,4190,20251202,1622,100,1,1,798.08,Late delivery,True
392,38572,20250519,1507,25,5,1,110.06,Changed mind,True
393,39955,20240820,370,31,11,5,440.46,Late delivery,True
394,20582,20250116,270,35,12,1,87.4,Changed mind,True
395,25977,20221025,1442,98,5,4,752.21,Late delivery,False
396,36368,20241220,1525,4,8,1,2951.34,Changed mind,False
397,11847,20241130,355,51,3,1,226.4,Damaged,True
398,46365,20251004,555,35,11,1,96.81,Damaged,True
399,29763,20240305,1355,65,5,1,49.6,Damaged,False
400,19985,20241231,747,89,2,2,129.01,Warranty,False
401,17053,20240729,1766,4,3,1,3216.91,Late delivery,True
402,17888,20240401,1786,104,7,4,2153.0,Other,True
403,42095,20231110,519,108,1,2,1384.96,Other,True
404,38902,20240821,1707,74,4,1,201.66,Damaged,True
405,55278,20241022,998,44,2,2,538.65,Other,False
406,51816,20230629,1716,12,11,1,3731.09,Late delivery,False
407,22823,20220922,1818,88,10,1,133.81,Damaged,False
408,29404,20240530,486,75,11,3,892.31,Other,True
409,54789,20240923,1386,51,3,1,221.06,Changed mind,True
410,15874,20230730,844,96,4,1,549.01,Late delivery,False
411,42848,20230121,1996,91,10,2,1009.6,Changed mind,True
412,38415,20251109,694,7,7,1,2163.79,Damaged,False
413,57137,20240421,1294,98,5,4,878.16,Other,True
414,36302,20251225,756,83,1,2,1149.98,Late delivery,True
415,335,20240421,1025,32,12,1,25.2,Changed mind,True
416,45405,20231109,1318,51,12,1,189.37,Changed mind,True
417,15508,20250326,1315,15,2,4,68.92,Other,True
418,18473,20250430,445,103,11,1,515.05,Wrong size,True
419,2101,20230919,734,7,1,1,2234.86,Wrong size,False
420,5692,20251003,1145,61,9,1,315.98,Damaged,True
421,59645,20241119,1341,55,8,2,685.06,Late delivery,False
422,25512,20240908,931,20,3,1,132.08,Other,True
423,43810,20250202,319,14,3,1,94.94,Wrong size,True
424,58886,20231222,1309,53,1,1,172.74,Wrong size,False
425,8829,20240618,884,72,4,3,875.76,Wrong size,False
426,24773,20240918,1233,51,12,4,944.87,Changed mind,True
427,56702,20220726,296,89,3,3,173.37,Damaged,True
428,45776,20240716,781,84,5,1,196.91,Damaged,True
429,11839,20250903,1190,19,7,2,159.94,Damaged,True
430,53172,20250303,1309,62,12,1,168.76,Late delivery,False
431,31452,20250118,1028,45,11,1,160.73,Late delivery,False
432,35895,20220831,1190,79,8,1,393.66,Wrong size,True
433,35003,20240512,518,46,4,1,213.53,Warranty,True
434,46868,20230405,1454,69,9,1,350.84,Wrong size,True
435,13454,20240821,1678,47,6,1,102.5,Warranty,False
436,40764,20251113,640,98,4,3,588.12,Wrong size,True
437,56359,20240228,729,98,1,1,210.26,Other,True
438,37531,20250821,1366,24,4,2,74.99,Warranty,True
439,31439,20230126,209,71,12,4,1458.76,Damaged,False
440,11339,20250127,206,17,8,1,81.27,Damaged,False
441,36567,20250417,87,92,9,1,521.62,Warranty,True
442,36834,20250814,1063,98,7,1,217.45,Other,True
443,58953,20231120,1657,104,7,2,1016.36,Wrong size,True
444,1092,20220420,1625,88,4,1,140.96,Warranty,True
445,48786,20240619,630,36,12,1,180.46,Warranty,False
446,28207,20240930,1861,31,11,7,591.7,Damaged,True
447,58106,20220815,1968,16,10,2,202.94,Wrong size,True
448,31234,20240319,1333,94,11,1,462.21,Damaged,True
449,56713,20251204,1220,84,12,1,194.27,Wrong size,False
450,5552,20230722,960,101,9,1,586.93,Late delivery,False
451,32967,20231008,1413,35,4,1,97.23,Warranty,True
452,25877,20240227,1195,40,8,1,300.27,Wrong size,True
453,16970,20240628,1286,78,11,1,169.08,Warranty,False
454,22430,20241128,543,43,3,1,146.18,Warranty,True
455,29322,20240416,624,99,7,2,1270.38,Damaged,True
456,52064,20250809,1644,14,6,1,91.23,Late delivery,True
457,35085,20251014,363,47,3,2,234.82,Warranty,True
458,54403,20250103,724,83,2,8,4158.4,Wrong size,False
459,40166,20250728,1147,108,11,3,2063.31,Wrong size,True
460,59396,20220909,789,28,11,1,36.99,Changed mind,True
461,4069,20250527,1183,4,8,1,2790.79,Changed mind,True
462,15987,20231103,1513,108,4,1,617.05,Other,True
463,18820,20230920,809,37,11,1,112.4,Changed mind,False
464,14425,20231017,630,24,5,1,37.33,Changed mind,True
465,25107,20250501,1348,40,7,1,305.46,Changed mind,True
466,36860,20230716,203,46,8,2,429.72,Changed mind,True
467,23056,20231113,868,104,1,4,2056.32,Late delivery,False
468,29598,20230202,1069,49,7,1,84.86,Changed mind,True
469,19628,20251011,1628,31,1,1,89.6,Warranty,True
470,43055,20251001,629,84,3,1,220.48,Changed mind,True
471,21812,20250731,1707,71,3,1,305.43,Warranty,True
472,32371,20240810,83,78,2,1,167.51,Late delivery,True
473,56157,20230827,206,60,7,2,909.04,Damaged,False
474,37141,20231001,1682,35,1,1,74.71,Warranty,False
475,4093,20251231,1946,15,5,1,21.29,Changed mind,True
476,23846,20240617,1684,74,11,1,218.73,Damaged,True
477,24481,20251028,735,30,8,1,60.21,Wrong size,True
478,30943,20240111,671,76,10,2,453.72,Damaged,False
479,4014,20230928,790,95,7,1,419.1,Changed mind,True
