LedgerID,PostingDateKey,AccountKey,StoreKey,CurrencyCode,Amount,Scenario,DocumentNumberHighCardinality
50,20250609,3100,5,PLN,1161.84,Forecast,DOC-2025-0000050
51,20230713,1200,6,USD,5231.67,Forecast,DOC-2023-0000051
52,20220923,2000,10,PLN,1758.3,Actual,DOC-2022-0000052
53,20231013,2100,12,EUR,-6162.26,Actual,DOC-2023-0000053
54,20231101,2200,7,EUR,-937.04,Actual,DOC-2023-0000054
55,20241023,5000,4,PLN,6732.27,Actual,DOC-2024-0000055
56,20240524,3100,7,PLN,4993.35,Actual,DOC-2024-0000056
57,20251015,4100,8,USD,90.23,Actual,DOC-2025-0000057
58,20240130,5300,8,PLN,-1994.41,Actual,DOC-2024-0000058
59,20250328,4300,4,USD,-4442.4,Forecast,DOC-2025-0000059
60,20230909,5300,11,USD,-6729.91,Actual,DOC-2023-0000060
61,20220728,5400,5,PLN,-3518.01,Actual,DOC-2022-0000061
62,20250429,2000,9,GBP,6282.93,Actual,DOC-2025-0000062
63,20220922,3000,10,GBP,227.83,Actual,DOC-2022-0000063
64,20250131,5400,9,USD,-6535.08,Actual,DOC-2025-0000064
65,20250916,5100,5,PLN,-5919.83,Actual,DOC-2025-0000065
66,20240523,2100,7,USD,-2373.11,Budget,DOC-2024-0000066
67,20220910,2100,7,USD,-4769.87,Budget,DOC-2022-0000067
68,20250927,4200,6,EUR,2623.97,Actual,DOC-2025-0000068
69,20251008,1200,8,USD,5264.82,Actual,DOC-2025-0000069
70,20250327,1100,1,PLN,5832.33,Actual,DOC-2025-0000070
71,20240201,4200,3,PLN,1683.91,Actual,DOC-2024-0000071
72,20240404,1000,6,GBP,3663.55,Actual,DOC-2024-0000072
73,20230622,5000,3,GBP,832.44,Actual,DOC-2023-0000073
74,20240220,4300,12,PLN,-2554.96,Actual,DOC-2024-0000074
75,20220706,3000,4,EUR,6458.36,Actual,DOC-2022-0000075
76,20240330,1300,4,GBP,4899.82,Budget,DOC-2024-0000076
77,20221010,1300,10,PLN,2689.97,Actual,DOC-2022-0000077
78,20250818,4100,10,USD,3452.08,Budget,DOC-2025-0000078
79,20240909,5200,8,USD,-381.19,Actual,DOC-2024-0000079
80,20240419,4100,7,GBP,4642.89,Actual,DOC-2024-0000080
81,20240424,5300,8,EUR,-5288.61,Actual,DOC-2024-0000081
82,20220612,4300,8,PLN,-411.12,Actual,DOC-2022-0000082
83,20230207,3000,12,USD,2994.25,Actual,DOC-2023-0000083
84,20241117,1100,4,EUR,6887.84,Actual,DOC-2024-0000084
85,20230810,5400,5,GBP,-7386.39,Actual,DOC-2023-0000085
86,20240609,1100,1,EUR,3925.29,Forecast,DOC-2024-0000086
87,20220514,2200,4,USD,-7660.92,Actual,DOC-2022-0000087
88,20241103,1000,9,USD,7542.23,Actual,DOC-2024-0000088
89,20230510,5300,4,EUR,-1993.04,Actual,DOC-2023-0000089
90,20241201,1300,7,EUR,8758.52,Actual,DOC-2024-0000090
91,20241011,1000,6,PLN,1736.18,Forecast,DOC-2024-0000091
92,20240426,3100,3,EUR,7090.97,Budget,DOC-2024-0000092
93,20250629,4100,4,EUR,4600.31,Actual,DOC-2025-0000093
94,20250125,3000,9,EUR,1088.22,Actual,DOC-2025-0000094
95,20220717,3100,11,EUR,8496.51,Forecast,DOC-2022-0000095
96,20250927,4300,5,GBP,-4850.87,Actual,DOC-2025-0000096
97,20230318,2200,4,USD,-3092.24,Budget,DOC-2023-0000097
98,20240918,4000,5,PLN,3885.72,Actual,DOC-2024-0000098
99,20220213,2200,5,USD,-5906.84,Budget,DOC-2022-0000099
100,20241212,2100,7,EUR,-2862.49,Actual,DOC-2024-0000100
101,20251022,3100,11,EUR,966.26,Actual,DOC-2025-0000101
102,20250124,1200,3,EUR,445.64,Forecast,DOC-2025-0000102
103,20220813,4200,12,GBP,8557.9,Actual,DOC-2022-0000103
104,20250406,3000,1,PLN,3490.13,Actual,DOC-2025-0000104
105,20230806,1200,5,USD,5163.42,Actual,DOC-2023-0000105
106,20220907,4100,7,EUR,5090.49,Budget,DOC-2022-0000106
107,20231105,4200,9,USD,102.69,Actual,DOC-2023-0000107
108,20241015,2000,9,PLN,7661.97,Actual,DOC-2024-0000108
109,20230711,2100,9,USD,-8203.29,Actual,DOC-2023-0000109
110,20221216,4300,5,PLN,-2368.35,Actual,DOC-2022-0000110
111,20220429,1000,4,GBP,4930.33,Actual,DOC-2022-0000111
112,20240905,1300,6,USD,7105.71,Actual,DOC-2024-0000112
113,20240308,5300,11,GBP,-112.16,Actual,DOC-2024-0000113
114,20230629,5400,6,USD,-5811.14,Actual,DOC-2023-0000114
115,20240512,1100,10,EUR,3794.88,Budget,DOC-2024-0000115
116,20240726,5400,6,USD,-6050.8,Actual,DOC-2024-0000116
117,20240309,5000,12,USD,4495.09,Actual,DOC-2024-0000117
118,20221001,5200,10,EUR,-8669.61,Actual,DOC-2022-0000118
119,20250826,5400,12,EUR,-8072.6,Actual,DOC-2025-0000119
120,20220816,3100,3,PLN,2543.36,Actual,DOC-2022-0000120
121,20250901,5000,10,USD,7978.99,Actual,DOC-2025-0000121
122,20250916,3100,10,GBP,3818.37,Forecast,DOC-2025-0000122
123,20230408,5400,1,GBP,-3004.95,Budget,DOC-2023-0000123
124,20230607,2100,7,USD,-4123.29,Actual,DOC-2023-0000124
125,20250511,5200,5,GBP,-7023.73,Forecast,DOC-2025-0000125
126,20251113,2200,9,GBP,-831.38,Actual,DOC-2025-0000126
127,20230512,5400,7,EUR,-7022.35,Actual,DOC-2023-0000127
128,20230915,1100,8,PLN,7404.7,Budget,DOC-2023-0000128
129,20230101,5100,6,USD,-5669.22,Actual,DOC-2023-0000129
130,20230315,4100,2,GBP,7805.24,Actual,DOC-2023-0000130
131,20240430,5000,11,PLN,8609.75,Actual,DOC-2024-0000131
132,20231126,5100,4,EUR,-7944.45,Forecast,DOC-2023-0000132
133,20220116,1300,8,EUR,3706.19,Actual,DOC-2022-0000133
134,20240105,2200,11,GBP,-4936.4,Actual,DOC-2024-0000134
135,20240313,2100,11,PLN,-550.71,Forecast,DOC-2024-0000135
136,20250710,5400,7,PLN,-6625.69,Actual,DOC-2025-0000136
137,20230111,5000,2,GBP,2098.66,Budget,DOC-2023-0000137
138,20230328,4000,4,EUR,6902.8,Actual,DOC-2023-0000138
139,20230331,4200,12,USD,1262.31,Actual,DOC-2023-0000139
140,20240403,4000,1,EUR,2626.76,Actual,DOC-2024-0000140
141,20220407,2100,6,EUR,-4940.47,Actual,DOC-2022-0000141
142,20230726,1000,8,PLN,4380.44,Forecast,DOC-2023-0000142
143,20230412,2000,8,GBP,6119.2,Actual,DOC-2023-0000143
144,20221225,5400,11,GBP,-6594.62,Actual,DOC-2022-0000144
145,20250228,1000,3,EUR,8663.29,Actual,DOC-2025-0000145
146,20250907,1200,2,USD,2064.44,Actual,DOC-2025-0000146
147,20221122,5000,6,EUR,535.07,Actual,DOC-2022-0000147
148,20240705,1100,7,PLN,1673.56,Actual,DOC-2024-0000148
149,20240718,2100,1,PLN,-5944.8,Actual,DOC-2024-0000149
150,20251128,1300,5,GBP,1239.49,Actual,DOC-2025-0000150
151,20220322,2100,2,USD,-297.19,Actual,DOC-2022-0000151
152,20240113,5100,4,GBP,-2015.92,Actual,DOC-2024-0000152
153,20250612,4300,3,PLN,-2622.96,Actual,DOC-2025-0000153
154,20220615,4000,11,PLN,4581.84,Actual,DOC-2022-0000154
155,20251117,5100,5,USD,-6864.96,Budget,DOC-2025-0000155
156,20230806,4300,4,PLN,-7797.96,Actual,DOC-2023-0000156
157,20250127,3100,12,EUR,7990.01,Actual,DOC-2025-0000157
158,20220608,5100,11,USD,-1690.97,Actual,DOC-2022-0000158
159,20230120,5400,6,GBP,-6461.78,Actual,DOC-2023-0000159
160,20230403,4100,1,EUR,3942.49,Actual,DOC-2023-0000160
161,20240904,1100,12,GBP,8618.3,Actual,DOC-2024-0000161
162,20241202,5400,5,PLN,-1801.99,Forecast,DOC-2024-0000162
163,20220706,4100,2,USD,3891.12,Actual,DOC-2022-0000163
164,20250308,1200,1,EUR,1025.91,Forecast,DOC-2025-0000164
165,20240717,5300,2,PLN,-5554.11,Actual,DOC-2024-0000165
166,20231224,5000,3,USD,2790.74,Budget,DOC-2023-0000166
167,20230309,5200,1,EUR,-4145.3,Actual,DOC-2023-0000167
168,20221228,3000,11,USD,1418.06,Actual,DOC-2022-0000168
169,20220521,2000,9,EUR,1474.87,Actual,DOC-2022-0000169
170,20231026,4100,2,PLN,1225.08,Forecast,DOC-2023-0000170
171,20241121,5300,12,USD,-4953.86,Actual,DOC-2024-0000171
172,20240729,2100,11,GBP,-6069.68,Actual,DOC-2024-0000172
173,20230618,1300,11,EUR,8699.73,Actual,DOC-2023-0000173
174,20230525,2000,1,EUR,7689.21,Actual,DOC-2023-0000174
175,20221201,4100,11,GBP,6427.6,Actual,DOC-2022-0000175
176,20230702,2000,6,PLN,1649.98,Budget,DOC-2023-0000176
177,20231018,4100,1,GBP,845.44,Budget,DOC-2023-0000177
178,20230704,1200,4,PLN,8832.41,Forecast,DOC-2023-0000178
179,20250410,1100,3,EUR,1618.64,Actual,DOC-2025-0000179
180,20241025,1200,10,EUR,1066.8,Actual,DOC-2024-0000180
181,20221020,1100,7,PLN,676.51,Actual,DOC-2022-0000181
182,20220113,3100,11,USD,6590.94,Actual,DOC-2022-0000182
183,20241119,5400,2,EUR,-4709.69,Actual,DOC-2024-0000183
184,20250728,4000,6,PLN,5201.99,Budget,DOC-2025-0000184
185,20250721,1200,1,EUR,7838.45,Actual,DOC-2025-0000185
186,20221122,2200,11,USD,-968.99,Actual,DOC-2022-0000186
187,20230918,5300,7,GBP,-7882.39,Actual,DOC-2023-0000187
188,20220916,4300,12,USD,-7059.2,Actual,DOC-2022-0000188
189,20240525,5400,2,USD,-2720.98,Budget,DOC-2024-0000189
190,20230815,4300,1,EUR,-2587.93,Actual,DOC-2023-0000190
191,20220825,5200,2,USD,-3611.8,Actual,DOC-2022-0000191
192,20220519,2200,1,EUR,-3492.75,Actual,DOC-2022-0000192
193,20230815,2000,12,PLN,4421.17,Actual,DOC-2023-0000193
194,20250805,1300,4,USD,2155.09,Actual,DOC-2025-0000194
195,20250719,1300,8,EUR,2219.73,Budget,DOC-2025-0000195
196,20250211,5100,7,GBP,-989.43,Forecast,DOC-2025-0000196
197,20220223,4200,5,GBP,4642.85,Actual,DOC-2022-0000197
198,20240201,1200,2,EUR,4721.39,Actual,DOC-2024-0000198
199,20250417,5400,8,GBP,-3140.25,Actual,DOC-2025-0000199
200,20240731,1200,2,EUR,6026.58,Actual,DOC-2024-0000200
201,20220516,2200,7,USD,-7708.42,Actual,DOC-2022-0000201
202,20230729,2100,6,GBP,-6157.01,Budget,DOC-2023-0000202
203,20231025,4000,12,EUR,2383.28,Actual,DOC-2023-0000203
204,20221216,5400,3,GBP,-5718.69,Actual,DOC-2022-0000204
205,20250304,5100,1,USD,-4532.26,Actual,DOC-2025-0000205
206,20230425,5300,8,EUR,-3712.15,Actual,DOC-2023-0000206
207,20220612,5200,6,GBP,-468.58,Actual,DOC-2022-0000207
208,20240216,1300,3,USD,6818.99,Budget,DOC-2024-0000208
209,20230720,4000,8,USD,1845.61,Actual,DOC-2023-0000209
210,20230310,5100,9,PLN,-8230.51,Actual,DOC-2023-0000210
211,20220906,5000,8,PLN,7409.21,Actual,DOC-2022-0000211
212,20231229,5400,8,PLN,-7916.18,Actual,DOC-2023-0000212
213,20220408,4200,7,USD,4114.18,Budget,DOC-2022-0000213
214,20240904,5000,10,USD,4751.35,Actual,DOC-2024-0000214
215,20221017,4000,5,GBP,377.63,Actual,DOC-2022-0000215
216,20240405,1000,2,EUR,8666.84,Actual,DOC-2024-0000216
217,20220205,1000,8,USD,8787.3,Budget,DOC-2022-0000217
218,20240709,4100,8,EUR,3810.92,Budget,DOC-2024-0000218
219,20240919,5200,12,USD,-6973.65,Actual,DOC-2024-0000219
220,20251011,1100,7,EUR,2130.23,Actual,DOC-2025-0000220
221,20230907,3100,1,EUR,6617.23,Actual,DOC-2023-0000221
222,20220108,5300,9,EUR,-2143.79,Forecast,DOC-2022-0000222
223,20220424,5300,4,EUR,-4200.47,Actual,DOC-2022-0000223
224,20250206,4100,12,GBP,3004.3,Budget,DOC-2025-0000224
225,20231011,2000,4,GBP,3259.01,Budget,DOC-2023-0000225
226,20251113,1000,11,EUR,1524.48,Actual,DOC-2025-0000226
227,20240131,4000,9,GBP,4470.25,Actual,DOC-2024-0000227
228,20250104,5100,10,GBP,-3811.92,Forecast,DOC-2025-0000228
229,20240413,5400,5,GBP,-7644.88,Actual,DOC-2024-0000229
230,20231028,3100,8,EUR,4965.36,Actual,DOC-2023-0000230
231,20220914,2200,5,USD,-6168.29,Budget,DOC-2022-0000231
232,20230804,5400,4,PLN,-5222.95,Actual,DOC-2023-0000232
233,20250303,1300,10,USD,3629.22,Actual,DOC-2025-0000233
234,20240905,3000,4,EUR,8301.17,Actual,DOC-2024-0000234
235,20230908,3000,10,EUR,802.37,Actual,DOC-2023-0000235
236,20221114,4000,6,PLN,2139.62,Budget,DOC-2022-0000236
237,20230320,1000,3,PLN,1596.75,Budget,DOC-2023-0000237
238,20250222,1100,7,USD,7057.79,Actual,DOC-2025-0000238
239,20240107,5000,10,USD,7869.0,Actual,DOC-2024-0000239
240,20250418,3000,10,EUR,4138.54,Actual,DOC-2025-0000240
241,20240516,5100,12,USD,-8417.68,Actual,DOC-2024-0000241
242,20241018,5200,6,PLN,-1873.84,Actual,DOC-2024-0000242
243,20221109,5000,7,PLN,161.92,Actual,DOC-2022-0000243
244,20250604,1100,2,GBP,4068.9,Forecast,DOC-2025-0000244
245,20231006,4000,7,PLN,4490.58,Actual,DOC-2023-0000245
246,20230208,2000,10,USD,1460.29,Actual,DOC-2023-0000246
247,20230507,4300,8,EUR,-5579.35,Actual,DOC-2023-0000247
248,20250729,4000,8,EUR,7723.64,Actual,DOC-2025-0000248
249,20221101,2200,12,EUR,-5190.9,Budget,DOC-2022-0000249
250,20230821,1200,7,EUR,3517.38,Actual,DOC-2023-0000250
251,20240704,4000,7,USD,1805.5,Actual,DOC-2024-0000251
252,20251127,2200,11,USD,-6927.74,Actual,DOC-2025-0000252
253,20220220,5400,8,EUR,-2041.97,Actual,DOC-2022-0000253
254,20250125,4100,12,PLN,6231.57,Actual,DOC-2025-0000254
255,20240118,1200,5,GBP,824.15,Actual,DOC-2024-0000255
256,20230224,5300,10,GBP,-7252.97,Budget,DOC-2023-0000256
257,20230420,4000,7,USD,4495.34,Budget,DOC-2023-0000257
258,20230423,4000,10,PLN,8821.93,Actual,DOC-2023-0000258
259,20241215,1000,7,USD,8489.25,Actual,DOC-2024-0000259
260,20230810,3100,7,GBP,3774.93,Actual,DOC-2023-0000260
261,20251231,3000,1,USD,7357.65,Actual,DOC-2025-0000261
262,20240531,3100,11,EUR,7191.76,Actual,DOC-2024-0000262
263,20250313,3100,12,GBP,5149.61,Budget,DOC-2025-0000263
264,20221120,4100,7,USD,1127.53,Actual,DOC-2022-0000264
265,20230108,3000,12,EUR,5468.81,Actual,DOC-2023-0000265
266,20240902,4200,2,GBP,8736.79,Forecast,DOC-2024-0000266
267,20240221,3100,12,GBP,5375.36,Actual,DOC-2024-0000267
268,20230719,1300,5,GBP,3895.08,Budget,DOC-2023-0000268
269,20221125,2000,5,PLN,2418.47,Actual,DOC-2022-0000269
270,20240518,2000,7,USD,436.09,Actual,DOC-2024-0000270
271,20250814,5100,6,PLN,-8948.28,Actual,DOC-2025-0000271
272,20220804,4000,8,PLN,7412.39,Actual,DOC-2022-0000272
273,20221217,5100,5,PLN,-3222.92,Forecast,DOC-2022-0000273
274,20220918,3000,11,PLN,3490.5,Actual,DOC-2022-0000274
275,20250407,2000,7,EUR,4717.23,Actual,DOC-2025-0000275
276,20221008,1100,9,EUR,5877.47,Forecast,DOC-2022-0000276
277,20240809,5400,3,PLN,-754.92,Actual,DOC-2024-0000277
278,20220908,4200,1,EUR,7897.81,Actual,DOC-2022-0000278
279,20231201,3100,1,PLN,1294.9,Actual,DOC-2023-0000279
280,20241221,4300,10,USD,-6431.07,Forecast,DOC-2024-0000280
281,20220714,4300,11,PLN,-6486.45,Budget,DOC-2022-0000281
282,20250816,5400,8,USD,-6749.49,Actual,DOC-2025-0000282
283,20240726,3000,8,PLN,6725.3,Actual,DOC-2024-0000283
284,20251015,1000,8,GBP,7299.21,Forecast,DOC-2025-0000284
285,20220121,4100,7,USD,4487.55,Budget,DOC-2022-0000285
286,20230224,5000,12,USD,3362.06,Budget,DOC-2023-0000286
287,20220805,1100,8,GBP,5196.22,Actual,DOC-2022-0000287
288,20241201,2000,2,USD,4407.07,Actual,DOC-2024-0000288
289,20220323,5000,8,EUR,3752.75,Budget,DOC-2022-0000289
290,20221211,2000,8,GBP,8973.2,Actual,DOC-2022-0000290
291,20230612,1200,4,USD,5594.39,Actual,DOC-2023-0000291
292,20220425,2100,11,PLN,-5620.4,Actual,DOC-2022-0000292
293,20251221,4300,7,GBP,-3777.61,Actual,DOC-2025-0000293
294,20240906,2200,10,GBP,-2268.09,Actual,DOC-2024-0000294
295,20230822,4300,10,USD,-5024.78,Actual,DOC-2023-0000295
296,20250531,4200,9,PLN,4723.85,Actual,DOC-2025-0000296
297,20241001,1000,6,USD,4354.52,Actual,DOC-2024-0000297
298,20220425,5200,10,USD,-8499.5,Actual,DOC-2022-0000298
299,20240217,4100,5,USD,2200.76,Actual,DOC-2024-0000299
300,20230717,4200,1,USD,1776.81,Actual,DOC-2023-0000300
301,20230423,2100,3,PLN,-5926.25,Actual,DOC-2023-0000301
302,20230126,1100,10,USD,5128.13,Actual,DOC-2023-0000302
303,20230830,1100,3,PLN,1333.26,Budget,DOC-2023-0000303
304,20250208,1000,6,USD,4329.16,Forecast,DOC-2025-0000304
305,20250130,3100,12,GBP,4634.64,Actual,DOC-2025-0000305
306,20220407,4200,5,EUR,2278.26,Forecast,DOC-2022-0000306
307,20221220,3000,5,GBP,8948.62,Budget,DOC-2022-0000307
308,20230503,4200,8,GBP,4499.92,Actual,DOC-2023-0000308
309,20250306,3000,8,GBP,2600.86,Actual,DOC-2025-0000309
310,20230404,3000,8,USD,590.11,Actual,DOC-2023-0000310
311,20231027,1100,1,PLN,2119.27,Actual,DOC-2023-0000311
312,20240802,4200,9,USD,2644.56,Actual,DOC-2024-0000312
313,20250121,4100,12,GBP,2584.99,Actual,DOC-2025-0000313
314,20220723,4100,8,PLN,8557.25,Actual,DOC-2022-0000314
315,20240601,4100,11,PLN,8572.92,Budget,DOC-2024-0000315
316,20220709,4200,8,GBP,3023.5,Forecast,DOC-2022-0000316
317,20220901,4100,10,PLN,7091.37,Actual,DOC-2022-0000317
318,20250706,2000,8,PLN,7106.55,Actual,DOC-2025-0000318
319,20230427,2000,11,EUR,1708.21,Actual,DOC-2023-0000319
320,20220315,5300,6,PLN,-1848.24,Actual,DOC-2022-0000320
321,20240817,1300,8,USD,374.14,Actual,DOC-2024-0000321
322,20220419,4300,10,PLN,-171.66,Actual,DOC-2022-0000322
323,20240123,1100,3,EUR,8900.7,Actual,DOC-2024-0000323
324,20250117,5100,2,USD,-4186.75,Budget,DOC-2025-0000324
325,20250213,5400,11,PLN,-2287.86,Budget,DOC-2025-0000325
326,20231202,4200,12,PLN,395.36,Forecast,DOC-2023-0000326
327,20250426,5200,3,USD,-3592.05,Actual,DOC-2025-0000327
328,20230627,1000,12,GBP,6914.41,Actual,DOC-2023-0000328
329,20221117,3100,10,GBP,2251.14,Forecast,DOC-2022-0000329
330,20240511,4100,2,GBP,2914.08,Forecast,DOC-2024-0000330
331,20240509,4000,10,USD,1060.12,Actual,DOC-2024-0000331
332,20220202,2000,10,EUR,6477.77,Forecast,DOC-2022-0000332
333,20240802,1100,6,EUR,8867.36,Actual,DOC-2024-0000333
334,20220508,2100,10,PLN,-7934.65,Actual,DOC-2022-0000334
335,20250829,4200,7,USD,7808.32,Actual,DOC-2025-0000335
336,20240814,4000,4,EUR,5227.1,Actual,DOC-2024-0000336
337,20221010,2200,7,USD,-4860.75,Actual,DOC-2022-0000337
338,20231225,2100,4,USD,-7772.52,Actual,DOC-2023-0000338
339,20231029,1300,7,GBP,2270.72,Actual,DOC-2023-0000339
340,20220121,2000,5,USD,7986.66,Actual,DOC-2022-0000340
341,20220124,1000,10,EUR,5975.39,Actual,DOC-2022-0000341
342,20230424,4000,1,USD,2271.08,Actual,DOC-2023-0000342
343,20230225,2100,8,GBP,-8141.54,Actual,DOC-2023-0000343
344,20241016,1000,6,PLN,5983.48,Forecast,DOC-2024-0000344
345,20241114,1000,2,EUR,3750.28,Actual,DOC-2024-0000345
346,20240513,2200,12,USD,-4833.15,Actual,DOC-2024-0000346
347,20250706,2000,8,USD,4072.23,Budget,DOC-2025-0000347
348,20250312,1100,1,GBP,4623.12,Forecast,DOC-2025-0000348
349,20240725,1200,4,USD,1322.06,Actual,DOC-2024-0000349
350,20230825,5100,9,PLN,-5551.84,Actual,DOC-2023-0000350
351,20230906,5300,3,GBP,-1451.88,Forecast,DOC-2023-0000351
352,20231201,2200,10,EUR,-7301.25,Actual,DOC-2023-0000352
353,20251022,2200,8,GBP,-8219.73,Actual,DOC-2025-0000353
354,20220424,5100,3,EUR,-8506.64,Actual,DOC-2022-0000354
355,20251208,5200,12,GBP,-6507.62,Actual,DOC-2025-0000355
356,20250514,4000,2,USD,7386.57,Actual,DOC-2025-0000356
357,20240501,2000,7,USD,6944.19,Actual,DOC-2024-0000357
358,20250521,5200,9,GBP,-8128.91,Actual,DOC-2025-0000358
359,20221001,1000,3,USD,8755.78,Actual,DOC-2022-0000359
360,20230824,3100,10,USD,7285.69,Actual,DOC-2023-0000360
361,20250114,5100,8,EUR,-6134.01,Actual,DOC-2025-0000361
362,20220503,3100,9,PLN,5331.56,Budget,DOC-2022-0000362
363,20230927,1000,10,GBP,2681.79,Actual,DOC-2023-0000363
364,20250215,4000,5,PLN,6483.0,Actual,DOC-2025-0000364
365,20220704,1200,12,USD,2981.94,Actual,DOC-2022-0000365
366,20221218,2100,10,PLN,-7645.11,Actual,DOC-2022-0000366
367,20230425,4100,4,USD,3740.17,Actual,DOC-2023-0000367
368,20221223,2200,12,USD,-6171.68,Actual,DOC-2022-0000368
369,20230330,5100,9,GBP,-2164.04,Actual,DOC-2023-0000369
370,20250211,5200,1,GBP,-6543.23,Forecast,DOC-2025-0000370
371,20250530,2200,4,EUR,-2061.45,Actual,DOC-2025-0000371
372,20230313,1000,6,USD,2761.11,Budget,DOC-2023-0000372
373,20250728,1100,11,EUR,8152.25,Actual,DOC-2025-0000373
374,20220111,5400,7,GBP,-1756.92,Actual,DOC-2022-0000374
375,20250607,5300,10,PLN,-2655.97,Actual,DOC-2025-0000375
376,20250607,4000,11,PLN,5919.1,Actual,DOC-2025-0000376
377,20230707,1100,4,PLN,4996.87,Actual,DOC-2023-0000377
378,20251008,4200,1,EUR,6974.25,Actual,DOC-2025-0000378
379,20231015,4300,8,USD,-263.47,Forecast,DOC-2023-0000379
380,20221003,1200,5,GBP,5979.17,Forecast,DOC-2022-0000380
381,20240105,5400,9,PLN,-801.65,Actual,DOC-2024-0000381
382,20231105,2000,7,GBP,7610.52,Forecast,DOC-2023-0000382
383,20250530,4200,4,PLN,6049.75,Actual,DOC-2025-0000383
384,20230430,2200,11,EUR,-593.1,Forecast,DOC-2023-0000384
385,20250713,4300,2,GBP,-1280.07,Actual,DOC-2025-0000385
386,20220701,2000,12,EUR,3469.7,Actual,DOC-2022-0000386
387,20251021,3000,10,USD,2265.29,Actual,DOC-2025-0000387
388,20250425,1100,11,PLN,4488.42,Forecast,DOC-2025-0000388
389,20240107,4200,9,USD,1493.96,Actual,DOC-2024-0000389
390,20231220,4200,10,GBP,5480.05,Budget,DOC-2023-0000390
391,20230308,1000,5,USD,4634.71,Actual,DOC-2023-0000391
392,20220926,1000,2,PLN,6688.46,Actual,DOC-2022-0000392
393,20231010,2200,5,GBP,-4306.87,Actual,DOC-2023-0000393
394,20240102,4000,6,USD,3793.96,Actual,DOC-2024-0000394
395,20250322,1100,5,USD,2544.9,Actual,DOC-2025-0000395
