BudgetID,MonthStartDateKey,StoreKey,ProductCategoryKey,BudgetSalesAmount,BudgetGrossMarginAmount,BudgetUnits
80,20220201,2,2,72748.89,20401.23,772
81,20220201,2,3,89611.83,27146.78,1043
82,20220201,2,4,42994.7,17363.26,322
83,20220201,2,5,19005.17,6988.01,245
84,20220201,2,6,18463.76,5209.61,638
85,20220201,3,1,42205.29,11461.73,617
86,20220201,3,2,11525.04,4101.84,1085
87,20220201,3,3,82066.51,29250.89,937
88,20220201,3,4,41158.94,18263.64,710
89,20220201,3,5,39250.19,12020.3,402
90,20220201,3,6,35434.84,10443.31,1161
91,20220201,4,1,37607.49,15458.27,334
92,20220201,4,2,13510.52,5584.19,239
93,20220201,4,3,18021.05,4105.53,263
94,20220201,4,4,57673.72,23977.26,1108
95,20220201,4,5,69863.98,22460.54,214
96,20220201,4,6,28118.13,12506.05,1158
97,20220201,5,1,64502.28,21072.84,835
98,20220201,5,2,17246.1,5209.75,501
99,20220201,5,3,37121.79,10245.88,490
100,20220201,5,4,66710.0,30606.29,561
101,20220201,5,5,66839.32,32010.7,826
102,20220201,5,6,41703.38,17181.47,335
103,20220201,6,1,23369.22,7663.16,333
104,20220201,6,2,41659.83,13134.03,591
105,20220201,6,3,15586.33,7263.71,1003
106,20220201,6,4,34620.46,10191.14,507
107,20220201,6,5,12532.37,5179.14,1080
108,20220201,6,6,56192.4,24099.35,423
109,20220201,7,1,18378.26,5643.11,769
110,20220201,7,2,44305.3,19191.12,369
111,20220201,7,3,68113.22,26081.63,361
112,20220201,7,4,42803.54,20255.36,1146
113,20220201,7,5,28568.8,13285.77,1012
114,20220201,7,6,25764.04,6812.38,419
115,20220201,8,1,48007.3,19700.9,959
116,20220201,8,2,52991.04,25109.07,960
117,20220201,8,3,51613.94,19342.18,663
118,20220201,8,4,59809.11,23371.28,387
119,20220201,8,5,48632.17,17434.0,263
120,20220201,8,6,35757.3,8372.02,1015
121,20220201,9,1,36792.03,14578.73,349
122,20220201,9,2,50873.42,13451.72,517
123,20220201,9,3,58059.66,22384.12,1133
124,20220201,9,4,27086.25,7374.45,1012
125,20220201,9,5,18576.82,5099.31,822
126,20220201,9,6,18739.97,8023.69,844
127,20220201,10,1,67722.57,17815.8,423
128,20220201,10,2,33366.75,9920.35,478
129,20220201,10,3,38879.1,13581.02,575
130,20220201,10,4,57508.45,26715.22,892
131,20220201,10,5,61026.97,15246.13,662
132,20220201,10,6,82305.68,28212.5,642
133,20220201,11,1,45739.24,13282.54,119
134,20220201,11,2,14521.53,4601.15,817
135,20220201,11,3,37857.88,8802.62,538
136,20220201,11,4,61070.57,17896.51,1154
137,20220201,11,5,64371.93,28956.4,709
138,20220201,11,6,60752.86,22676.65,659
139,20220201,12,1,60756.76,23906.88,762
140,20220201,12,2,44520.39,16033.76,446
141,20220201,12,3,83308.21,31154.76,960
142,20220201,12,4,77393.94,27249.15,1010
143,20220201,12,5,24393.92,6201.12,187
144,20220201,12,6,32118.97,8063.27,593
145,20220301,1,1,13302.61,6090.68,96
146,20220301,1,2,16745.0,4185.81,383
147,20220301,1,3,38686.34,11985.62,1153
148,20220301,1,4,22826.0,5712.15,831
149,20220301,1,5,71862.79,29971.76,776
150,20220301,1,6,51153.99,23237.4,387
151,20220301,2,1,21359.58,5364.07,472
152,20220301,2,2,63020.03,29189.77,394
153,20220301,2,3,34489.95,13830.3,698
154,20220301,2,4,51495.06,12184.03,854
155,20220301,2,5,33651.68,14095.09,918
156,20220301,2,6,60976.68,18531.93,459
157,20220301,3,1,55369.64,15026.21,313
158,20220301,3,2,55426.14,21260.72,922
159,20220301,3,3,63895.57,29178.04,367
160,20220301,3,4,71443.38,28726.63,270
161,20220301,3,5,74945.02,27655.73,424
162,20220301,3,6,47248.94,20525.42,300
163,20220301,4,1,35980.02,12912.5,566
164,20220301,4,2,22751.11,10908.25,781
165,20220301,4,3,76081.99,18880.63,565
166,20220301,4,4,47290.73,12811.14,588
167,20220301,4,5,31060.47,11766.29,955
168,20220301,4,6,64803.41,19514.31,1135
169,20220301,5,1,44579.73,19618.57,1136
170,20220301,5,2,27199.01,8002.71,200
171,20220301,5,3,49012.96,15558.59,480
172,20220301,5,4,81981.5,32535.51,163
173,20220301,5,5,17620.82,4824.25,715
174,20220301,5,6,82200.68,30473.67,457
175,20220301,6,1,25256.77,12097.12,1026
176,20220301,6,2,20644.96,6116.97,941
177,20220301,6,3,57270.18,19510.5,982
178,20220301,6,4,70590.6,15788.95,195
179,20220301,6,5,14336.95,4640.95,945
180,20220301,6,6,69752.0,28747.8,573
181,20220301,7,1,70131.36,32601.36,934
182,20220301,7,2,14769.53,6777.22,964
183,20220301,7,3,49963.1,19842.58,755
184,20220301,7,4,13300.11,4744.88,871
185,20220301,7,5,11642.12,3300.13,364
186,20220301,7,6,23867.34,8712.82,1020
187,20220301,8,1,42098.84,10557.1,925
188,20220301,8,2,38319.56,13743.88,609
189,20220301,8,3,38495.28,17179.42,559
190,20220301,8,4,37355.64,8272.32,593
191,20220301,8,5,12013.46,4483.35,971
192,20220301,8,6,54566.17,17949.77,179
193,20220301,9,1,34423.69,13077.65,239
194,20220301,9,2,63702.92,17427.33,829
195,20220301,9,3,43633.47,14422.71,849
196,20220301,9,4,55162.09,16774.16,369
197,20220301,9,5,51052.2,15299.44,646
198,20220301,9,6,10241.63,4474.19,1043
199,20220301,10,1,16326.97,3755.3,402
200,20220301,10,2,83305.23,29876.86,595
201,20220301,10,3,87718.75,36749.43,939
202,20220301,10,4,64790.89,28066.75,485
203,20220301,10,5,65800.15,14904.05,468
204,20220301,10,6,52959.53,12796.12,932
205,20220301,11,1,25635.73,9322.83,834
206,20220301,11,2,22081.12,8192.47,857
207,20220301,11,3,65823.8,22638.4,262
208,20220301,11,4,33717.04,7421.73,259
209,20220301,11,5,61874.03,28116.65,952
210,20220301,11,6,47028.8,15993.35,895
211,20220301,12,1,53465.0,21315.73,584
212,20220301,12,2,45019.35,12110.65,652
213,20220301,12,3,63194.96,16307.08,332
214,20220301,12,4,36691.49,14880.28,523
215,20220301,12,5,68961.91,24498.91,296
216,20220301,12,6,27045.69,9578.08,1192
217,20220401,1,1,10616.42,2985.93,585
218,20220401,1,2,28455.01,8689.62,926
219,20220401,1,3,59110.99,13745.34,1178
220,20220401,1,4,49579.19,21583.51,358
221,20220401,1,5,35070.44,15066.25,559
222,20220401,1,6,36480.23,8799.08,650
223,20220401,2,1,94294.9,24612.63,439
224,20220401,2,2,40688.41,18978.68,351
225,20220401,2,3,62867.41,25609.65,92
226,20220401,2,4,38549.97,17934.14,1017
227,20220401,2,5,40334.37,12916.84,748
228,20220401,2,6,47476.13,16534.65,710
229,20220401,3,1,71313.36,30288.6,383
230,20220401,3,2,62887.25,21876.17,965
231,20220401,3,3,14776.85,3834.44,355
232,20220401,3,4,74861.93,33582.29,146
233,20220401,3,5,77560.61,27823.04,209
234,20220401,3,6,14461.97,5085.62,781
235,20220401,4,1,50706.96,14742.0,510
236,20220401,4,2,85587.19,23987.64,319
237,20220401,4,3,49970.82,17673.53,754
238,20220401,4,4,52682.45,18737.22,508
239,20220401,4,5,36946.59,16794.84,200
240,20220401,4,6,26808.08,6378.56,108
241,20220401,5,1,20220.34,8384.68,665
242,20220401,5,2,16079.07,4081.17,993
243,20220401,5,3,73967.91,16567.82,1000
244,20220401,5,4,24534.71,11083.68,879
245,20220401,5,5,30386.77,11565.27,1117
246,20220401,5,6,92441.89,24542.08,604
247,20220401,6,1,36011.37,16935.59,309
248,20220401,6,2,48293.4,19320.08,1125
249,20220401,6,3,71175.0,23190.47,560
250,20220401,6,4,74882.44,33579.77,332
251,20220401,6,5,39425.71,11276.27,538
252,20220401,6,6,44629.78,14795.81,379
253,20220401,7,1,36651.0,9233.46,1184
254,20220401,7,2,28149.64,9456.36,999
255,20220401,7,3,13822.05,6558.98,877
256,20220401,7,4,73838.22,20754.32,571
257,20220401,7,5,52186.65,17089.83,441
258,20220401,7,6,29364.0,6713.44,354
259,20220401,8,1,42420.12,12898.71,634
260,20220401,8,2,29066.14,13384.39,178
261,20220401,8,3,58170.36,23403.35,876
262,20220401,8,4,42942.57,17766.49,441
263,20220401,8,5,58772.06,22486.63,809
264,20220401,8,6,22911.27,8032.33,753
265,20220401,9,1,57582.33,20323.6,656
266,20220401,9,2,17240.41,8265.99,879
267,20220401,9,3,67584.4,28659.0,325
268,20220401,9,4,15433.05,7012.35,436
269,20220401,9,5,73971.74,16448.98,486
270,20220401,9,6,65689.06,21540.53,631
271,20220401,10,1,63314.21,29550.09,360
272,20220401,10,2,84911.42,29381.51,563
273,20220401,10,3,58721.91,16446.66,688
274,20220401,10,4,90389.9,35551.93,342
275,20220401,10,5,79500.87,20830.68,522
276,20220401,10,6,55613.28,20950.75,337
277,20220401,11,1,17620.13,6321.7,1063
278,20220401,11,2,33294.07,12924.97,574
279,20220401,11,3,54892.62,14770.49,163
280,20220401,11,4,22325.77,5018.84,123
281,20220401,11,5,58622.81,20533.4,959
282,20220401,11,6,74348.35,17534.73,724
283,20220401,12,1,68385.12,20254.71,253
284,20220401,12,2,18563.89,6157.87,482
285,20220401,12,3,67110.63,24635.0,938
286,20220401,12,4,43318.74,18726.83,346
287,20220401,12,5,34285.87,12291.15,421
288,20220401,12,6,58057.61,26758.74,171
289,20220501,1,1,41494.34,16356.42,926
290,20220501,1,2,70337.44,29991.85,677
291,20220501,1,3,26875.96,6683.84,1153
292,20220501,1,4,37891.82,17199.06,611
293,20220501,1,5,54671.02,14395.53,536
294,20220501,1,6,58458.97,16985.58,342
295,20220501,2,1,55510.27,18666.13,1073
296,20220501,2,2,26755.2,8665.92,96
297,20220501,2,3,30124.23,11999.59,848
298,20220501,2,4,59562.47,13373.32,394
299,20220501,2,5,77924.02,36425.14,147
300,20220501,2,6,26204.78,8347.99,996
301,20220501,3,1,36770.76,9461.08,1166
302,20220501,3,2,37443.48,13634.91,84
303,20220501,3,3,19750.04,7613.75,222
304,20220501,3,4,51745.59,17566.76,821
305,20220501,3,5,45027.41,10962.16,254
306,20220501,3,6,30837.67,11819.09,247
307,20220501,4,1,62332.37,14209.99,803
308,20220501,4,2,49735.91,15722.77,884
309,20220501,4,3,23861.73,11153.92,298
310,20220501,4,4,73684.49,34027.01,1105
311,20220501,4,5,18195.56,8656.47,1182
312,20220501,4,6,34003.86,9604.44,676
313,20220501,5,1,55431.92,24547.51,126
314,20220501,5,2,24425.78,7300.32,748
315,20220501,5,3,76604.55,36150.86,377
316,20220501,5,4,84239.46,31609.45,175
317,20220501,5,5,38196.18,16008.83,880
318,20220501,5,6,86983.12,37263.01,1147
319,20220501,6,1,75408.2,29310.86,657
320,20220501,6,2,17562.27,5407.82,643
321,20220501,6,3,73611.26,27530.38,330
322,20220501,6,4,83035.58,32979.23,576
323,20220501,6,5,78979.53,17740.52,735
324,20220501,6,6,19489.21,4561.86,905
325,20220501,7,1,53600.61,14111.66,722
326,20220501,7,2,54260.72,22615.3,680
327,20220501,7,3,39632.73,13122.28,91
328,20220501,7,4,42485.63,17402.35,1189
329,20220501,7,5,43358.74,15786.84,693
330,20220501,7,6,45872.67,15716.64,745
331,20220501,8,1,41281.6,9753.94,922
332,20220501,8,2,62092.05,16788.9,630
333,20220501,8,3,51802.56,23903.47,525
334,20220501,8,4,33766.69,11694.2,951
335,20220501,8,5,15171.13,6789.6,468
336,20220501,8,6,23902.88,10132.12,102
337,20220501,9,1,41643.26,16752.11,88
338,20220501,9,2,13969.4,5836.37,1013
339,20220501,9,3,58650.09,27790.15,472
340,20220501,9,4,31997.15,14513.92,443
341,20220501,9,5,65477.5,17689.21,134
342,20220501,9,6,12803.32,4345.07,1167
343,20220501,10,1,88534.45,36618.49,303
344,20220501,10,2,24081.86,6423.51,271
345,20220501,10,3,53858.71,18961.45,411
346,20220501,10,4,62447.97,29514.9,429
347,20220501,10,5,68932.83,25809.09,722
348,20220501,10,6,19379.64,8595.54,750
349,20220501,11,1,48327.61,21640.68,84
350,20220501,11,2,35153.57,13049.38,395
351,20220501,11,3,11874.37,3971.89,1050
352,20220501,11,4,49438.72,21118.49,721
353,20220501,11,5,49902.58,14196.94,553
354,20220501,11,6,39658.77,18771.57,814
355,20220501,12,1,74658.95,17220.5,514
356,20220501,12,2,90906.71,33118.46,107
357,20220501,12,3,23414.0,8615.62,871
358,20220501,12,4,86517.88,29210.7,195
359,20220501,12,5,42940.1,13485.8,623
360,20220501,12,6,39590.04,14749.63,1076
361,20220601,1,1,56558.57,13488.62,1031
362,20220601,1,2,68260.37,24546.73,910
363,20220601,1,3,42764.45,19404.54,148
364,20220601,1,4,21794.45,6221.37,460
365,20220601,1,5,34881.36,8706.71,672
366,20220601,1,6,22819.17,10169.69,533
367,20220601,2,1,86940.13,24724.04,783
368,20220601,2,2,34147.36,10305.93,400
369,20220601,2,3,44435.73,20815.52,899
370,20220601,2,4,43140.37,19284.68,356
371,20220601,2,5,33414.34,9726.24,537
372,20220601,2,6,90535.82,20682.89,299
373,20220601,3,1,53356.28,16743.51,936
374,20220601,3,2,48643.6,20525.73,1067
375,20220601,3,3,55265.11,17137.75,368
376,20220601,3,4,41211.5,10149.91,720
377,20220601,3,5,33145.74,13062.63,702
378,20220601,3,6,62748.66,21097.5,727
379,20220601,4,1,26976.08,6416.89,673
380,20220601,4,2,53222.53,24763.05,1125
381,20220601,4,3,64128.8,24209.19,920
382,20220601,4,4,61873.33,14691.34,1031
383,20220601,4,5,12655.31,5684.32,183
384,20220601,4,6,38759.97,9731.59,792
385,20220601,5,1,61120.36,23398.22,1136
386,20220601,5,2,17513.56,7781.57,1196
387,20220601,5,3,41477.14,12561.63,477
388,20220601,5,4,78459.25,25185.03,258
389,20220601,5,5,52898.5,12570.59,739
390,20220601,5,6,15769.78,3635.05,97
391,20220601,6,1,28769.71,7083.66,1145
392,20220601,6,2,39005.41,14287.94,415
393,20220601,6,3,53714.8,20783.95,978
394,20220601,6,4,31103.38,7268.15,915
395,20220601,6,5,29215.23,10202.09,103
396,20220601,6,6,22876.39,7984.68,504
397,20220601,7,1,34385.94,11216.96,943
398,20220601,7,2,36682.16,8893.87,522
399,20220601,7,3,40630.69,12589.53,236
400,20220601,7,4,42232.99,19142.94,941
401,20220601,7,5,26074.36,6030.82,842
402,20220601,7,6,34753.76,13347.28,449
403,20220601,8,1,27155.09,8986.78,510
404,20220601,8,2,55667.95,16860.02,1158
405,20220601,8,3,52515.23,23293.7,826
406,20220601,8,4,22209.25,7861.52,453
407,20220601,8,5,46771.85,12865.52,341
408,20220601,8,6,13197.43,3741.37,894
409,20220601,9,1,29213.79,9810.58,726
410,20220601,9,2,60774.0,16294.19,910
411,20220601,9,3,49344.9,18494.3,970
412,20220601,9,4,38560.21,15014.15,537
413,20220601,9,5,40495.12,13078.68,692
414,20220601,9,6,45760.25,21814.63,842
415,20220601,10,1,50493.91,19024.95,1051
416,20220601,10,2,11930.46,2862.87,106
417,20220601,10,3,68452.34,19938.74,459
418,20220601,10,4,50817.83,13126.74,668
419,20220601,10,5,33858.09,8803.38,692
420,20220601,10,6,52916.27,17679.63,829
421,20220601,11,1,24351.43,8555.46,713
422,20220601,11,2,62887.07,26198.53,692
423,20220601,11,3,65900.65,22663.75,267
424,20220601,11,4,10768.54,2549.89,645
425,20220601,11,5,16667.07,6036.52,702
426,20220601,11,6,61172.01,26431.1,513
427,20220601,12,1,84960.95,18912.9,1057
428,20220601,12,2,72369.4,24483.67,382
429,20220601,12,3,14798.52,5961.47,942
430,20220601,12,4,22474.8,5967.56,932
431,20220601,12,5,19743.13,9422.35,471
432,20220601,12,6,19797.26,7302.84,621
433,20220701,1,1,9105.1,3112.86,976
434,20220701,1,2,26448.12,8432.9,654
435,20220701,1,3,38025.15,10490.83,128
436,20220701,1,4,28129.85,8148.33,704
437,20220701,1,5,17145.93,4998.96,1048
438,20220701,1,6,54144.59,22710.47,919
439,20220701,2,1,37802.3,10789.28,1056
440,20220701,2,2,51837.13,21953.91,722
441,20220701,2,3,65998.13,15056.72,998
442,20220701,2,4,35289.8,9150.23,528
443,20220701,2,5,77173.34,16992.76,339
444,20220701,2,6,19788.57,5296.04,769
445,20220701,3,1,11542.13,2636.62,244
446,20220701,3,2,30420.34,11374.68,92
447,20220701,3,3,64107.15,23848.07,769
448,20220701,3,4,11442.84,5085.58,281
449,20220701,3,5,12655.22,3411.21,1191
450,20220701,3,6,10347.7,3190.0,265
451,20220701,4,1,37558.86,10880.27,377
452,20220701,4,2,54410.5,20683.1,1089
453,20220701,4,3,51426.04,12536.35,949
454,20220701,4,4,52858.97,21653.94,1069
455,20220701,4,5,49239.13,22680.19,399
456,20220701,4,6,49545.06,18822.56,995
457,20220701,5,1,63015.59,21787.45,1158
458,20220701,5,2,59442.39,27136.97,344
459,20220701,5,3,41919.75,11841.96,608
460,20220701,5,4,67960.67,19686.41,1094
461,20220701,5,5,58530.5,21886.54,796
462,20220701,5,6,45677.21,16968.42,949
463,20220701,6,1,37643.07,11210.81,953
464,20220701,6,2,57929.32,15244.64,323
465,20220701,6,3,55645.05,24011.4,556
466,20220701,6,4,60829.56,20361.2,1120
467,20220701,6,5,50160.44,11818.57,281
468,20220701,6,6,17885.61,4625.85,766
469,20220701,7,1,61899.03,28396.07,170
470,20220701,7,2,67909.19,27145.89,525
471,20220701,7,3,60248.22,27864.69,677
472,20220701,7,4,40412.22,14862.66,151
473,20220701,7,5,58813.88,17038.97,422
474,20220701,7,6,13573.12,4974.44,630
475,20220701,8,1,55622.06,12745.91,1075
476,20220701,8,2,46324.92,12209.85,611
477,20220701,8,3,15270.68,6505.0,1130
478,20220701,8,4,26853.44,7661.05,489
479,20220701,8,5,47038.86,13588.73,972
480,20220701,8,6,51045.94,21503.69,749
481,20220701,9,1,49927.16,19109.39,128
482,20220701,9,2,8788.41,3919.44,294
483,20220701,9,3,42861.43,10689.62,402
484,20220701,9,4,51063.4,11462.29,707
485,20220701,9,5,33730.86,9941.84,170
486,20220701,9,6,56869.7,20586.97,591
487,20220701,10,1,68432.44,21108.42,696
488,20220701,10,2,46568.97,12820.21,1182
489,20220701,10,3,57959.12,18364.0,901
490,20220701,10,4,78355.7,34720.08,617
491,20220701,10,5,66099.36,24160.66,486
492,20220701,10,6,56873.96,25301.58,1187
493,20220701,11,1,36410.33,13336.38,717
494,20220701,11,2,24323.31,7459.63,1183
495,20220701,11,3,61351.26,21361.1,227
496,20220701,11,4,14170.8,5163.7,642
497,20220701,11,5,28311.65,8992.92,490
498,20220701,11,6,24653.76,11295.74,829
499,20220701,12,1,55883.57,23482.91,97
500,20220701,12,2,35431.37,16192.52,895
501,20220701,12,3,42643.93,19004.54,383
502,20220701,12,4,38266.57,17116.34,1140
503,20220701,12,5,26052.08,8808.68,981
504,20220701,12,6,49541.75,12041.07,1019
505,20220801,1,1,26556.57,12070.19,667
506,20220801,1,2,41920.98,13956.17,783
507,20220801,1,3,43870.23,16892.78,927
508,20220801,1,4,37299.06,9479.03,1011
509,20220801,1,5,12314.56,3161.11,502
510,20220801,1,6,51126.55,11404.51,674
511,20220801,2,1,34650.56,15094.04,97
512,20220801,2,2,56637.0,14921.09,974
513,20220801,2,3,55213.31,22867.45,229
514,20220801,2,4,12598.52,5068.72,1106
515,20220801,2,5,53246.0,20602.87,287
516,20220801,2,6,17949.84,5415.61,222
517,20220801,3,1,41067.7,13303.86,450
518,20220801,3,2,18987.52,7838.22,708
519,20220801,3,3,27375.73,8834.94,593
520,20220801,3,4,35633.2,7871.98,407
521,20220801,3,5,19312.6,8309.48,81
522,20220801,3,6,58461.23,14659.87,292
523,20220801,4,1,56675.07,13078.67,754
524,20220801,4,2,10100.43,4229.0,1068
525,20220801,4,3,22087.77,7244.75,311
526,20220801,4,4,26585.77,9980.85,689
527,20220801,4,5,47825.4,22355.01,776
528,20220801,4,6,24565.08,6693.01,236
529,20220801,5,1,28313.44,13229.62,106
530,20220801,5,2,66797.51,30755.54,344
531,20220801,5,3,42539.64,13687.34,196
532,20220801,5,4,43090.72,13203.94,1101
533,20220801,5,5,30158.31,14292.19,975
534,20220801,5,6,52724.68,11908.36,557
535,20220801,6,1,39271.19,10499.95,589
536,20220801,6,2,39228.18,17986.61,511
537,20220801,6,3,38598.76,13864.06,429
538,20220801,6,4,59065.57,27072.16,737
539,20220801,6,5,63076.97,25236.03,302
540,20220801,6,6,53139.39,14815.53,1139
541,20220801,7,1,64149.84,22898.99,724
542,20220801,7,2,13994.16,5866.98,514
543,20220801,7,3,40804.39,13475.38,912
544,20220801,7,4,25926.24,9190.71,99
545,20220801,7,5,15652.98,5371.79,765
546,20220801,7,6,17208.15,8170.47,928
547,20220801,8,1,50189.75,11817.38,1025
548,20220801,8,2,9662.05,3642.4,609
549,20220801,8,3,26505.74,11779.87,663
550,20220801,8,4,33641.31,10169.05,541
551,20220801,8,5,22196.05,6354.3,721
552,20220801,8,6,32037.64,7262.24,260
553,20220801,9,1,44652.1,10980.88,566
554,20220801,9,2,18805.99,7703.45,355
555,20220801,9,3,48636.85,15719.01,527
556,20220801,9,4,23889.74,10144.09,1037
557,20220801,9,5,48586.49,23003.14,783
558,20220801,9,6,52003.05,19095.72,214
559,20220801,10,1,27431.15,7507.29,303
560,20220801,10,2,50564.71,18184.71,91
561,20220801,10,3,44614.95,12556.64,950
562,20220801,10,4,49966.39,17811.46,517
563,20220801,10,5,61131.21,18070.38,88
564,20220801,10,6,38036.6,14646.83,753
565,20220801,11,1,26896.56,7975.07,863
566,20220801,11,2,25259.9,6660.99,726
567,20220801,11,3,25279.1,9992.67,538
568,20220801,11,4,19120.71,5712.24,195
569,20220801,11,5,35291.39,15167.79,727
570,20220801,11,6,17632.13,7497.18,429
571,20220801,12,1,16692.82,6596.8,765
572,20220801,12,2,69735.87,19341.55,205
573,20220801,12,3,65059.1,26286.01,318
574,20220801,12,4,35638.0,9863.17,770
575,20220801,12,5,32404.0,7376.18,88
576,20220801,12,6,60678.8,25884.1,91
577,20220901,1,1,13621.25,3226.08,549
578,20220901,1,2,38068.51,11003.32,281
579,20220901,1,3,51760.98,15783.73,1009
580,20220901,1,4,49671.96,20900.52,859
581,20220901,1,5,35062.07,10625.6,260
582,20220901,1,6,39450.2,16046.41,1171
583,20220901,2,1,24518.98,6471.08,506
584,20220901,2,2,57810.45,21570.34,878
585,20220901,2,3,28268.7,13339.98,867
586,20220901,2,4,68870.77,21737.99,930
587,20220901,2,5,66648.28,21170.1,453
588,20220901,2,6,39198.61,16895.36,710
589,20220901,3,1,29376.16,13805.18,559
590,20220901,3,2,13339.46,5872.11,599
591,20220901,3,3,12396.27,4418.48,1104
592,20220901,3,4,17028.81,4484.14,732
593,20220901,3,5,48847.71,13901.41,807
594,20220901,3,6,28421.93,8988.99,131
595,20220901,4,1,58593.22,27245.74,947
596,20220901,4,2,58671.97,17936.62,413
597,20220901,4,3,55651.49,18297.31,417
598,20220901,4,4,43232.03,9592.93,439
599,20220901,4,5,59688.44,27275.58,133
600,20220901,4,6,44373.67,17068.82,540
601,20220901,5,1,60111.91,21605.64,415
602,20220901,5,2,33547.37,11091.68,1121
603,20220901,5,3,44636.31,15758.27,281
604,20220901,5,4,58858.4,19125.13,100
605,20220901,5,5,15243.86,3534.21,584
606,20220901,5,6,58244.54,17790.13,146
607,20220901,6,1,13431.59,5434.46,824
608,20220901,6,2,24105.99,7001.64,292
609,20220901,6,3,54978.24,20522.31,814
610,20220901,6,4,15121.51,7013.23,904
611,20220901,6,5,25499.44,5703.44,929
612,20220901,6,6,14852.85,4197.24,633
613,20220901,7,1,45012.7,21205.87,960
614,20220901,7,2,9789.03,2202.5,86
615,20220901,7,3,55099.82,24805.28,1165
616,20220901,7,4,14994.47,6892.95,226
617,20220901,7,5,57784.81,23949.76,632
618,20220901,7,6,15285.49,6819.5,331
619,20220901,8,1,29664.48,13836.56,114
620,20220901,8,2,7769.08,2402.71,1105
621,20220901,8,3,23987.82,11435.65,351
622,20220901,8,4,16102.71,5078.15,624
623,20220901,8,5,25126.81,11658.59,827
624,20220901,8,6,50977.78,11292.69,349
625,20220901,9,1,18011.57,6626.35,879
626,20220901,9,2,43749.43,18867.93,553
