SessionID,DateKey,CustomerKey,MarketingChannel,DeviceType,PageViews,DurationSeconds,ConvertedOrderNumber,CampaignCode
WEB-00000037,20220131,949,Social,Tablet,3,1028,,WINTER
WEB-00000038,20220625,1012,Organic Search,Mobile,1,749,,VIP
WEB-00000039,20220507,1880,Paid Search,Mobile,4,563,SO-2025-811104,WINTER
WEB-00000040,20221216,26,Direct,Desktop,1,798,,WELCOME
WEB-00000041,20250803,160,Social,Tablet,11,1000,,NONE
WEB-00000042,20250806,1190,Social,Tablet,6,131,,VIP
WEB-00000043,20230430,1998,Referral,Desktop,3,1369,,VIP
WEB-00000044,20220323,157,Social,Tablet,5,1407,,SUMMER
WEB-00000045,20250717,1165,Email,Mobile,2,1419,,WELCOME
WEB-00000046,20221124,1636,Organic Search,Tablet,5,1022,,VIP
WEB-00000047,20250421,1732,Referral,Tablet,7,396,,VIP
WEB-00000048,20240415,661,Social,Tablet,5,86,,WELCOME
WEB-00000049,20220203,1617,Referral,Mobile,1,1299,,SUMMER
WEB-00000050,20220316,1246,Direct,Mobile,5,1782,,SUMMER
WEB-00000051,20250209,756,Email,Tablet,9,989,SO-2025-251221,WINTER
WEB-00000052,20220729,1360,Organic Search,Tablet,5,893,,WELCOME
WEB-00000053,20231205,1746,Affiliate,Desktop,4,693,,WINTER
WEB-00000054,20221017,595,Email,Desktop,1,1366,,WINTER
WEB-00000055,20221103,367,Social,Tablet,10,1124,,VIP
WEB-00000056,20230204,1787,Social,Tablet,9,1398,,BIKEPRO
WEB-00000057,20230708,188,Paid Search,Tablet,3,252,,BIKEPRO
WEB-00000058,20251207,1158,Affiliate,Tablet,1,1186,,WELCOME
WEB-00000059,20220216,1318,Paid Search,Tablet,2,1585,,BIKEPRO
WEB-00000060,20250813,18,Affiliate,Mobile,5,135,,NONE
WEB-00000061,20251010,903,Email,Mobile,3,437,SO-2025-327875,NONE
WEB-00000062,20240418,335,Social,Desktop,4,1106,,NONE
WEB-00000063,20240903,584,Social,Mobile,3,1445,,NONE
WEB-00000064,20250224,1754,Social,Desktop,1,897,,BIKEPRO
WEB-00000065,20230209,1997,Paid Search,Desktop,6,1662,SO-2024-206493,VIP
WEB-00000066,20250212,1665,Direct,Mobile,6,1664,,WINTER
WEB-00000067,20231112,1019,Direct,Tablet,2,1574,,SUMMER
WEB-00000068,20240206,878,Organic Search,Desktop,3,1161,,WELCOME
WEB-00000069,20220408,1579,Organic Search,Mobile,6,1757,,NONE
WEB-00000070,20220814,130,Affiliate,Mobile,9,301,SO-2025-333349,VIP
WEB-00000071,20250115,1083,Affiliate,Desktop,1,1023,,WINTER
WEB-00000072,20250224,17,Email,Mobile,8,631,,VIP
WEB-00000073,20230506,984,Email,Desktop,4,483,,BIKEPRO
WEB-00000074,20240303,1303,Paid Search,Mobile,4,1300,,SUMMER
WEB-00000075,20220626,1459,Social,Mobile,3,83,,NONE
WEB-00000076,20230316,909,Direct,Desktop,1,1769,,WELCOME
WEB-00000077,20231204,1501,Organic Search,Tablet,5,147,,SUMMER
WEB-00000078,20220802,810,Email,Desktop,7,1136,,VIP
WEB-00000079,20220803,539,Direct,Tablet,8,318,,SUMMER
WEB-00000080,20221009,709,Referral,Mobile,3,159,SO-2025-179317,NONE
WEB-00000081,20240801,153,Social,Mobile,7,1503,,BIKEPRO
WEB-00000082,20250318,574,Affiliate,Desktop,1,350,,NONE
WEB-00000083,20240104,964,Organic Search,Mobile,12,1364,,WINTER
WEB-00000084,20250409,551,Email,Mobile,6,1025,SO-2024-576846,NONE
WEB-00000085,20240220,1748,Affiliate,Mobile,4,208,,VIP
WEB-00000086,20250622,1613,Paid Search,Mobile,7,1384,,WELCOME
WEB-00000087,20251205,805,Social,Tablet,1,1646,,WELCOME
WEB-00000088,20231210,664,Referral,Desktop,7,132,,BIKEPRO
WEB-00000089,20220509,1290,Paid Search,Desktop,10,627,,WINTER
WEB-00000090,20230519,1971,Social,Mobile,2,994,,SUMMER
WEB-00000091,20220501,261,Organic Search,Tablet,6,864,,WELCOME
WEB-00000092,20230304,83,Direct,Mobile,5,1107,,SUMMER
WEB-00000093,20250517,1124,Organic Search,Mobile,1,580,,WINTER
WEB-00000094,20230306,,Social,Mobile,1,879,,WELCOME
WEB-00000095,20251220,1617,Social,Mobile,6,1732,,BIKEPRO
WEB-00000096,20240707,1790,Organic Search,Mobile,1,1101,,WINTER
WEB-00000097,20240719,1041,Affiliate,Tablet,1,779,,VIP
WEB-00000098,20240407,1476,Email,Tablet,2,510,,WELCOME
WEB-00000099,20251122,940,Social,Desktop,5,1213,,SUMMER
WEB-00000100,20230625,1986,Direct,Tablet,1,1064,,BIKEPRO
WEB-00000101,20240509,114,Direct,Mobile,8,968,,BIKEPRO
WEB-00000102,20250108,1535,Direct,Mobile,5,1761,,SUMMER
WEB-00000103,20230313,1863,Paid Search,Mobile,1,151,,NONE
WEB-00000104,20240101,802,Email,Mobile,3,1007,,NONE
WEB-00000105,20220307,600,Social,Tablet,2,1575,SO-2024-216909,WINTER
WEB-00000106,20220902,1857,Social,Mobile,10,1574,,NONE
WEB-00000107,20220506,719,Email,Tablet,5,629,,WELCOME
WEB-00000108,20230207,507,Direct,Desktop,6,1250,,SUMMER
WEB-00000109,20230906,111,Paid Search,Tablet,6,1092,,NONE
WEB-00000110,20230805,1225,Email,Desktop,1,365,SO-2023-644011,VIP
WEB-00000111,20230913,1431,Referral,Tablet,3,839,,VIP
WEB-00000112,20230609,1629,Direct,Tablet,3,1633,,SUMMER
WEB-00000113,20240420,1402,Affiliate,Desktop,14,698,,WINTER
WEB-00000114,20230206,1665,Direct,Tablet,8,914,,BIKEPRO
WEB-00000115,20230718,685,Referral,Mobile,1,1109,SO-2024-959759,SUMMER
WEB-00000116,20230905,647,Affiliate,Desktop,5,773,SO-2023-274901,SUMMER
WEB-00000117,20240913,909,Organic Search,Mobile,7,278,,VIP
WEB-00000118,20221022,503,Email,Mobile,2,971,,VIP
WEB-00000119,20241124,279,Affiliate,Desktop,5,1068,,VIP
WEB-00000120,20230719,1955,Social,Desktop,1,639,SO-2024-271402,NONE
WEB-00000121,20221214,328,Paid Search,Tablet,5,468,,NONE
WEB-00000122,20250506,311,Organic Search,Tablet,14,528,SO-2025-706249,WELCOME
WEB-00000123,20230623,65,Email,Tablet,10,663,,SUMMER
WEB-00000124,20240127,1793,Referral,Mobile,5,840,,NONE
WEB-00000125,20230318,260,Affiliate,Desktop,6,238,,BIKEPRO
WEB-00000126,20220708,1056,Referral,Desktop,4,65,,VIP
WEB-00000127,20251101,579,Social,Tablet,5,1242,,WINTER
WEB-00000128,20231221,1152,Direct,Desktop,1,315,,NONE
WEB-00000129,20230425,707,Email,Mobile,5,414,,BIKEPRO
WEB-00000130,20240217,1169,Social,Tablet,1,1100,,WELCOME
WEB-00000131,20230119,1702,Email,Desktop,2,1467,,BIKEPRO
WEB-00000132,20230707,325,Direct,Tablet,10,1391,,SUMMER
WEB-00000133,20251003,1325,Organic Search,Tablet,11,899,,WELCOME
WEB-00000134,20230313,1469,Email,Tablet,7,1354,,VIP
WEB-00000135,20230909,1508,Direct,Mobile,10,1270,SO-2024-542112,WINTER
WEB-00000136,20230119,1337,Email,Mobile,1,1511,SO-2024-605798,BIKEPRO
WEB-00000137,20250203,1425,Direct,Tablet,1,1661,,SUMMER
WEB-00000138,20221017,1875,Affiliate,Mobile,5,126,,WELCOME
WEB-00000139,20250807,52,Email,Desktop,3,995,,VIP
WEB-00000140,20220610,1202,Paid Search,Mobile,4,240,,VIP
WEB-00000141,20230829,533,Organic Search,Desktop,1,59,,BIKEPRO
WEB-00000142,20231019,1225,Referral,Tablet,5,536,,VIP
WEB-00000143,20240604,329,Email,Desktop,1,1737,,VIP
WEB-00000144,20220806,238,Direct,Tablet,1,151,,NONE
WEB-00000145,20230424,571,Email,Mobile,7,1589,SO-2024-781309,WINTER
WEB-00000146,20220407,477,Direct,Tablet,2,196,SO-2025-691607,NONE
WEB-00000147,20230831,350,Social,Desktop,6,803,SO-2024-600923,BIKEPRO
WEB-00000148,20230531,292,Referral,Mobile,13,41,,BIKEPRO
WEB-00000149,20221202,1135,Social,Desktop,6,293,SO-2023-666090,BIKEPRO
WEB-00000150,20220802,1487,Direct,Mobile,4,760,,SUMMER
WEB-00000151,20250526,653,Direct,Desktop,9,908,,SUMMER
WEB-00000152,20241118,1654,Email,Desktop,8,676,,SUMMER
WEB-00000153,20240512,1835,Direct,Tablet,8,690,,NONE
WEB-00000154,20250611,264,Paid Search,Desktop,7,402,,WELCOME
WEB-00000155,20250818,1014,Organic Search,Mobile,3,1660,,VIP
WEB-00000156,20240719,1161,Affiliate,Desktop,9,520,SO-2024-497895,BIKEPRO
WEB-00000157,20220410,1543,Social,Desktop,11,1139,,NONE
WEB-00000158,20230930,1798,Social,Mobile,1,308,,WINTER
WEB-00000159,20240321,1316,Social,Tablet,4,627,,NONE
WEB-00000160,20230626,1479,Organic Search,Tablet,4,1500,,BIKEPRO
WEB-00000161,20230903,1650,Social,Tablet,1,868,,NONE
WEB-00000162,20221201,1982,Social,Mobile,3,957,,BIKEPRO
WEB-00000163,20230121,103,Referral,Tablet,6,1218,,WELCOME
WEB-00000164,20220201,706,Social,Tablet,6,1394,,WELCOME
WEB-00000165,20220104,1933,Organic Search,Tablet,8,412,,SUMMER
WEB-00000166,20240921,1150,Paid Search,Mobile,2,643,,BIKEPRO
WEB-00000167,20241223,1053,Direct,Desktop,3,469,,NONE
WEB-00000168,20250502,693,Organic Search,Mobile,5,1138,SO-2022-794343,WELCOME
WEB-00000169,20220319,1445,Direct,Mobile,7,986,,WELCOME
WEB-00000170,20220705,790,Affiliate,Desktop,1,1296,,SUMMER
WEB-00000171,20230924,1229,Direct,Mobile,2,595,,BIKEPRO
WEB-00000172,20240630,1401,Email,Desktop,1,603,,NONE
WEB-00000173,20240610,617,Paid Search,Tablet,8,353,SO-2025-319424,WINTER
WEB-00000174,20230505,1905,Email,Desktop,3,733,,WINTER
WEB-00000175,20250324,783,Referral,Mobile,9,1269,,WINTER
WEB-00000176,20240131,913,Paid Search,Tablet,7,570,SO-2025-572954,WELCOME
WEB-00000177,20250323,1838,Affiliate,Mobile,7,528,,BIKEPRO
WEB-00000178,20220206,218,Direct,Mobile,5,707,SO-2024-871548,NONE
WEB-00000179,20220801,1186,Paid Search,Desktop,4,1215,,WINTER
WEB-00000180,20250725,1600,Referral,Tablet,6,316,,VIP
WEB-00000181,20250801,142,Referral,Desktop,1,1014,,WELCOME
WEB-00000182,20250607,1196,Affiliate,Mobile,2,1131,SO-2023-832029,WINTER
WEB-00000183,20220215,1358,Organic Search,Desktop,3,1295,,WINTER
WEB-00000184,20251207,1236,Paid Search,Desktop,1,802,,WINTER
WEB-00000185,20230428,996,Affiliate,Mobile,9,1649,,VIP
WEB-00000186,20240530,909,Organic Search,Tablet,8,361,,WELCOME
WEB-00000187,20250221,1355,Email,Desktop,1,363,,BIKEPRO
WEB-00000188,20231115,451,Organic Search,Desktop,6,847,,BIKEPRO
WEB-00000189,20251118,1337,Paid Search,Tablet,4,1415,SO-2024-609273,SUMMER
WEB-00000190,20220724,627,Social,Mobile,4,1607,,WELCOME
WEB-00000191,20241210,1758,Referral,Mobile,7,1671,,WINTER
WEB-00000192,20250907,1447,Paid Search,Tablet,6,877,,NONE
WEB-00000193,20241219,595,Paid Search,Mobile,1,66,,WINTER
WEB-00000194,20230107,542,Referral,Desktop,6,1755,,SUMMER
WEB-00000195,20240726,452,Referral,Tablet,4,56,,WINTER
WEB-00000196,20231027,337,Referral,Mobile,3,982,,WINTER
WEB-00000197,20220621,1910,Social,Desktop,4,591,,VIP
WEB-00000198,20250409,995,Affiliate,Desktop,4,1374,,BIKEPRO
WEB-00000199,20251117,1795,Organic Search,Tablet,12,629,,NONE
WEB-00000200,20230501,243,Organic Search,Mobile,6,567,,SUMMER
WEB-00000201,20250530,390,Paid Search,Mobile,4,1737,,WELCOME
WEB-00000202,20221006,320,Direct,Tablet,1,1799,,SUMMER
WEB-00000203,20250220,954,Referral,Mobile,6,1750,,WELCOME
WEB-00000204,20250216,78,Referral,Mobile,5,863,SO-2024-871674,WINTER
WEB-00000205,20220307,804,Affiliate,Mobile,5,287,,VIP
WEB-00000206,20250129,18,Social,Tablet,1,1537,,NONE
WEB-00000207,20220123,956,Organic Search,Desktop,7,1356,,WINTER
WEB-00000208,20230829,614,Organic Search,Desktop,3,332,SO-2025-286367,WELCOME
WEB-00000209,20231124,1328,Direct,Desktop,5,650,SO-2023-208981,NONE
WEB-00000210,20240809,197,Organic Search,Desktop,3,1637,SO-2024-882646,WINTER
WEB-00000211,20220426,142,Paid Search,Tablet,6,1494,,NONE
WEB-00000212,20240205,44,Direct,Desktop,1,316,,BIKEPRO
WEB-00000213,20231019,694,Referral,Desktop,3,1137,SO-2025-302439,BIKEPRO
WEB-00000214,20220323,326,Organic Search,Mobile,1,1447,,NONE
WEB-00000215,20240701,1633,Affiliate,Desktop,3,1479,,BIKEPRO
WEB-00000216,20221101,347,Email,Tablet,5,1088,SO-2024-143803,NONE
WEB-00000217,20251217,1591,Affiliate,Desktop,7,590,,WINTER
WEB-00000218,20220106,513,Affiliate,Mobile,2,460,,WINTER
WEB-00000219,20220503,901,Direct,Mobile,3,150,,WELCOME
WEB-00000220,20220616,194,Social,Tablet,3,1486,SO-2023-603647,WINTER
WEB-00000221,20240120,482,Email,Mobile,4,1107,,VIP
WEB-00000222,20241228,926,Paid Search,Tablet,2,665,,SUMMER
WEB-00000223,20250121,1356,Email,Tablet,3,711,,NONE
WEB-00000224,20240307,836,Paid Search,Desktop,2,94,,WELCOME
WEB-00000225,20220818,1494,Social,Mobile,6,570,SO-2025-774277,VIP
WEB-00000226,20240211,904,Social,Desktop,6,1254,,WELCOME
WEB-00000227,20231215,479,Affiliate,Desktop,3,872,,WINTER
WEB-00000228,20221027,1151,Social,Desktop,6,798,,WINTER
WEB-00000229,20250502,1100,Email,Tablet,9,592,,BIKEPRO
WEB-00000230,20220417,969,Affiliate,Tablet,6,273,,WINTER
WEB-00000231,20250611,756,Referral,Tablet,1,248,,VIP
WEB-00000232,20230411,1846,Referral,Desktop,2,1542,,NONE
WEB-00000233,20231016,1074,Email,Desktop,8,515,,BIKEPRO
WEB-00000234,20250916,1620,Affiliate,Tablet,7,309,,WINTER
WEB-00000235,20250825,1428,Referral,Mobile,3,282,,SUMMER
WEB-00000236,20250914,1936,Referral,Desktop,3,697,,WINTER
WEB-00000237,20250102,1809,Affiliate,Desktop,5,1497,,SUMMER
WEB-00000238,20251024,37,Affiliate,Desktop,4,1494,SO-2023-406813,VIP
WEB-00000239,20221214,313,Social,Tablet,3,272,,NONE
WEB-00000240,20221021,457,Paid Search,Mobile,1,1593,SO-2025-557602,WELCOME
WEB-00000241,20230331,791,Social,Desktop,1,691,,BIKEPRO
WEB-00000242,20230309,408,Social,Mobile,5,1472,,SUMMER
WEB-00000243,20231114,1371,Email,Tablet,8,1793,SO-2023-260339,BIKEPRO
WEB-00000244,20240108,1279,Organic Search,Tablet,4,400,SO-2024-474996,WINTER
WEB-00000245,20231009,791,Paid Search,Tablet,5,994,,NONE
WEB-00000246,20221022,404,Affiliate,Tablet,2,825,,BIKEPRO
WEB-00000247,20240713,288,Email,Mobile,6,1670,,SUMMER
WEB-00000248,20230401,1494,Direct,Tablet,8,1220,,WELCOME
WEB-00000249,20220115,956,Referral,Tablet,2,1176,,SUMMER
WEB-00000250,20230830,801,Paid Search,Desktop,4,621,,WINTER
WEB-00000251,20221103,1228,Organic Search,Tablet,2,556,,WELCOME
WEB-00000252,20240921,762,Email,Tablet,1,846,,NONE
WEB-00000253,20220729,645,Affiliate,Mobile,5,560,,WELCOME
WEB-00000254,20220307,1045,Social,Mobile,3,986,,SUMMER
WEB-00000255,20220110,1054,Affiliate,Mobile,10,1784,,WINTER
WEB-00000256,20220303,609,Organic Search,Desktop,1,656,,NONE
WEB-00000257,20220416,25,Direct,Mobile,8,1368,SO-2025-399948,BIKEPRO
WEB-00000258,20240407,106,Affiliate,Desktop,1,1794,,NONE
WEB-00000259,20221214,20,Affiliate,Desktop,4,1591,,WINTER
WEB-00000260,20221018,345,Organic Search,Tablet,3,881,,BIKEPRO
WEB-00000261,20250321,197,Direct,Mobile,4,1558,SO-2025-493113,BIKEPRO
WEB-00000262,20231019,141,Affiliate,Desktop,3,1785,,NONE
WEB-00000263,20251020,314,Organic Search,Desktop,8,51,,WINTER
WEB-00000264,20241102,1820,Direct,Tablet,8,506,SO-2025-115596,WINTER
WEB-00000265,20230316,1375,Social,Tablet,6,1046,SO-2023-614379,NONE
WEB-00000266,20220731,1776,Affiliate,Desktop,1,661,,VIP
WEB-00000267,20231003,21,Social,Desktop,1,717,,BIKEPRO
WEB-00000268,20240427,847,Direct,Desktop,5,656,,BIKEPRO
WEB-00000269,20230124,1958,Affiliate,Tablet,4,1080,,VIP
WEB-00000270,20241121,1053,Direct,Tablet,5,1089,,NONE
WEB-00000271,20231010,1492,Direct,Desktop,6,697,,WINTER
WEB-00000272,20250914,757,Paid Search,Tablet,2,227,,WINTER
WEB-00000273,20221023,806,Paid Search,Desktop,1,708,,BIKEPRO
WEB-00000274,20250430,540,Email,Tablet,1,1209,SO-2023-131590,SUMMER
WEB-00000275,20240628,1143,Direct,Desktop,2,1417,,WINTER
WEB-00000276,20230215,194,Referral,Tablet,1,305,,VIP
WEB-00000277,20230125,1081,Direct,Mobile,1,584,,WELCOME
WEB-00000278,20221029,1476,Direct,Tablet,6,1530,,NONE
WEB-00000279,20230529,1988,Email,Tablet,6,1743,,BIKEPRO
WEB-00000280,20230429,12,Referral,Mobile,1,1133,,BIKEPRO
WEB-00000281,20221224,1542,Referral,Tablet,3,678,SO-2025-791166,WINTER
WEB-00000282,20230921,498,Direct,Desktop,8,1693,SO-2023-847852,VIP
WEB-00000283,20240411,1127,Affiliate,Mobile,3,358,,WINTER
WEB-00000284,20220217,1490,Referral,Desktop,5,1107,,WELCOME
WEB-00000285,20240827,423,Organic Search,Desktop,1,1082,,SUMMER
WEB-00000286,20220724,17,Affiliate,Tablet,6,594,,SUMMER
WEB-00000287,20221017,278,Paid Search,Tablet,7,666,SO-2022-567552,BIKEPRO
WEB-00000288,20230219,1737,Affiliate,Mobile,9,1788,,BIKEPRO
WEB-00000289,20240109,1436,Referral,Tablet,5,1800,SO-2023-868645,NONE
WEB-00000290,20231114,388,Email,Mobile,3,1433,,SUMMER
WEB-00000291,20220521,1304,Email,Mobile,1,1049,,WELCOME
WEB-00000292,20250301,283,Social,Desktop,8,551,,WINTER
WEB-00000293,20251123,1904,Paid Search,Tablet,1,1548,,WINTER
WEB-00000294,20241128,708,Email,Desktop,5,706,,WINTER
WEB-00000295,20220401,1363,Direct,Desktop,4,812,SO-2025-867026,WINTER
WEB-00000296,20221031,1519,Email,Desktop,6,63,SO-2023-302011,WELCOME
WEB-00000297,20240520,1995,Social,Desktop,7,1748,,WINTER
WEB-00000298,20231114,402,Referral,Desktop,1,311,,NONE
WEB-00000299,20220511,947,Social,Mobile,1,193,,WINTER
WEB-00000300,20230209,159,Referral,Mobile,1,1106,,VIP
WEB-00000301,20240222,927,Social,Desktop,4,1297,,BIKEPRO
WEB-00000302,20230724,1036,Paid Search,Mobile,10,397,SO-2023-647866,NONE
WEB-00000303,20250611,1262,Organic Search,Desktop,1,737,,VIP
WEB-00000304,20230517,1920,Social,Tablet,3,1006,SO-2022-586264,SUMMER
WEB-00000305,20240313,1854,Social,Mobile,6,128,SO-2023-955930,WELCOME
WEB-00000306,20230131,1213,Affiliate,Desktop,4,1137,,NONE
WEB-00000307,20220324,178,Paid Search,Tablet,4,1721,,WINTER
WEB-00000308,20231124,44,Email,Mobile,7,1685,,SUMMER
WEB-00000309,20240603,1516,Organic Search,Tablet,6,163,,VIP
WEB-00000310,20220920,153,Direct,Desktop,6,1133,,VIP
WEB-00000311,20240228,996,Social,Desktop,8,1313,SO-2024-562844,BIKEPRO
WEB-00000312,20220502,605,Organic Search,Tablet,5,467,,VIP
WEB-00000313,20240705,224,Paid Search,Desktop,9,503,,WINTER
WEB-00000314,20230131,1800,Paid Search,Mobile,3,1508,,WELCOME
WEB-00000315,20221001,707,Social,Desktop,5,1617,,WINTER
WEB-00000316,20240822,675,Affiliate,Mobile,6,510,,WELCOME
WEB-00000317,20240926,1880,Referral,Mobile,11,774,,BIKEPRO
WEB-00000318,20250318,810,Social,Desktop,5,443,SO-2023-660635,SUMMER
WEB-00000319,20220426,916,Paid Search,Desktop,9,1328,,NONE
WEB-00000320,20230630,1051,Affiliate,Tablet,1,733,,WELCOME
WEB-00000321,20220615,535,Social,Desktop,6,197,,WINTER
WEB-00000322,20250309,1409,Organic Search,Tablet,11,1657,SO-2024-501262,NONE
WEB-00000323,20250327,1887,Direct,Tablet,6,453,,SUMMER
WEB-00000324,20230922,315,Affiliate,Mobile,5,1303,,WINTER
WEB-00000325,20250224,180,Email,Mobile,4,1575,,VIP
WEB-00000326,20250209,101,Direct,Mobile,3,1244,,VIP
WEB-00000327,20230805,943,Social,Desktop,3,1020,,WINTER
WEB-00000328,20220303,1855,Social,Desktop,6,1117,SO-2025-488664,VIP
WEB-00000329,20250910,683,Paid Search,Mobile,1,1750,SO-2024-421830,WINTER
WEB-00000330,20230507,99,Direct,Desktop,8,1788,SO-2022-517175,NONE
WEB-00000331,20231218,1345,Paid Search,Desktop,1,1737,,NONE
WEB-00000332,20220717,1445,Referral,Mobile,3,848,,SUMMER
WEB-00000333,20230927,471,Social,Desktop,5,836,,VIP
WEB-00000334,20240526,1381,Organic Search,Desktop,9,1664,,WELCOME
WEB-00000335,20220403,1184,Direct,Desktop,2,528,,NONE
WEB-00000336,20250429,1077,Organic Search,Desktop,7,762,SO-2025-208978,WINTER
WEB-00000337,20220423,1741,Paid Search,Desktop,9,639,,NONE
WEB-00000338,20240630,245,Direct,Mobile,6,1511,,WINTER
WEB-00000339,20230616,1646,Email,Mobile,9,454,,BIKEPRO
WEB-00000340,20250814,1878,Affiliate,Desktop,1,532,,WINTER
WEB-00000341,20230423,241,Affiliate,Desktop,6,1162,,VIP
WEB-00000342,20230323,938,Referral,Desktop,3,718,,VIP
WEB-00000343,20220919,713,Direct,Tablet,8,1108,,BIKEPRO
WEB-00000344,20240419,1842,Organic Search,Tablet,8,393,,VIP
WEB-00000345,20250515,34,Affiliate,Desktop,3,1055,SO-2024-991384,VIP
WEB-00000346,20230331,1944,Paid Search,Desktop,8,1682,SO-2024-679232,VIP
WEB-00000347,20241228,470,Social,Tablet,1,749,,WINTER
WEB-00000348,20231102,422,Referral,Tablet,6,1230,SO-2023-388067,SUMMER
WEB-00000349,20230624,249,Referral,Mobile,4,758,,VIP
WEB-00000350,20221025,1731,Paid Search,Tablet,3,1524,,NONE
WEB-00000351,20221130,1970,Paid Search,Tablet,1,238,,NONE
WEB-00000352,20231110,1436,Affiliate,Tablet,5,1227,,WINTER
WEB-00000353,20241221,818,Email,Tablet,8,54,,VIP
WEB-00000354,20230415,1103,Direct,Tablet,4,322,,WINTER
WEB-00000355,20250908,1839,Email,Tablet,5,57,,WINTER
WEB-00000356,20240307,363,Paid Search,Tablet,4,713,,WELCOME
WEB-00000357,20230508,1282,Social,Tablet,8,910,,WELCOME
WEB-00000358,20231107,1218,Paid Search,Desktop,5,334,SO-2023-561749,WINTER
WEB-00000359,20240831,1916,Referral,Desktop,6,1291,,WINTER
WEB-00000360,20240217,1521,Organic Search,Mobile,3,967,,NONE
WEB-00000361,20220919,1338,Social,Desktop,2,59,,NONE
WEB-00000362,20220604,693,Affiliate,Desktop,5,900,,SUMMER
WEB-00000363,20251104,1932,Referral,Tablet,7,1359,,WINTER
WEB-00000364,20220519,1644,Direct,Mobile,4,204,,SUMMER
WEB-00000365,20220926,1531,Email,Desktop,6,1125,,WELCOME
WEB-00000366,20221220,1105,Social,Desktop,2,803,,SUMMER
WEB-00000367,20220220,728,Direct,Desktop,7,416,,VIP
WEB-00000368,20250922,1191,Direct,Mobile,5,760,,SUMMER
WEB-00000369,20240616,564,Organic Search,Desktop,3,1566,SO-2025-340948,VIP
WEB-00000370,20250420,1149,Paid Search,Desktop,8,1682,SO-2024-439650,WELCOME
WEB-00000371,20230103,228,Affiliate,Desktop,6,811,,VIP
WEB-00000372,20230509,872,Affiliate,Desktop,10,1385,,BIKEPRO
WEB-00000373,20251112,1684,Referral,Mobile,3,1689,,SUMMER
WEB-00000374,20230221,117,Social,Mobile,1,1451,,VIP
WEB-00000375,20220716,57,Organic Search,Mobile,6,1556,SO-2024-785902,NONE
WEB-00000376,20241018,605,Organic Search,Tablet,8,647,,BIKEPRO
WEB-00000377,20231208,816,Referral,Mobile,1,1325,,VIP
WEB-00000378,20230430,1825,Email,Desktop,6,144,SO-2024-567699,WELCOME
WEB-00000379,20230709,448,Referral,Desktop,1,444,,WINTER
WEB-00000380,20240812,1726,Direct,Desktop,8,188,,WELCOME
